complexity,loss,equation,score,sympy_format,lambda_format
1,0.08947163,0.5927746,0.0,0.592774600000000,PySRFunction(X=>0.592774600000000)
3,0.06405899,square(cos(x)),0.1670586071014976,cos(x)**2,PySRFunction(X=>cos(x)**2)
4,0.0005231946,sin(x * 3.1086583),4.807606177581113,sin(x*3.1086583),PySRFunction(X=>sin(x*3.1086583))
6,0.00021279139,cos((x * 3.046616) + -1.5182158),0.4498205914330921,cos(x*3.046616 - 1.5182158),PySRFunction(X=>cos(x*3.046616 - 1.5182158))
8,0.00016287732,cos((x * 3.0076647) + -1.4962038) + -0.0125157805,0.13365750836343682,cos(x*3.0076647 - 1.4962038) - 0.0125157805,PySRFunction(X=>cos(x*3.0076647 - 1.4962038) - 0.0125157805)
10,4.6263685e-05,sin(sin(sqrt(x * (x * 9.849855)))) * 1.1433179,0.6293199836563986,1.1433179*sin(sin(3.13844786478922*sqrt(x**2))),PySRFunction(X=>1.1433179*sin(sin(3.13844786478922*sqrt(x**2))))
12,4.6263573e-05,sin(sin(sqrt((x * (x * 1.3400666)) * 7.350338))) * 1.1433303,1.2104541128688113e-06,1.1433303*sin(sin(3.13846179720429*sqrt(x**2))),PySRFunction(X=>1.1433303*sin(sin(3.13846179720429*sqrt(x**2))))
16,4.623187e-05,sin(sin(sqrt(x * (x * 9.852844)))) * ((x * (x * -0.000550235)) + 1.143656),0.00017137601709461383,(1.143656 - 0.000550235*x**2)*sin(sin(3.13892401946909*sqrt(x**2))),PySRFunction(X=>(1.143656 - 0.000550235*x**2)*sin(sin(3.13892401946909*sqrt(x**2))))
18,4.3275722e-05,sin(sin(sqrt(x * (x * 9.843054)))) * ((x * (x * (x * -0.020182747))) + 1.147441),0.03303880109278183,(1.147441 - 0.020182747*x**3)*sin(sin(3.13736418032717*sqrt(x**2))),PySRFunction(X=>(1.147441 - 0.020182747*x**3)*sin(sin(3.13736418032717*sqrt(x**2))))
19,2.874839e-05,(x * -0.043576427) + cos((cos((x - -0.71102995) + x) * 0.56400794) + ((x * 3.9590628) + -1.9339154)),0.4090100192454849,x*(-0.043576427) + cos(x*3.9590628 + cos(x + x - 1*(-0.71102995))*0.56400794 - 1.9339154),PySRFunction(X=>x*(-0.043576427) + cos(x*3.9590628 + cos(x + x - 1*(-0.71102995))*0.56400794 - 1.9339154))
24,2.1080457e-05,sin(sqrt(x * (x / (sqrt(cos(cos(cos(square(x - cos(square(x + 0.07271545))))) * 1.6400324)) * 0.13300146)))) / 1.018604,0.062047072584048825,0.981735787411006*sin(2.74202743535094*sqrt(x**2/sqrt(cos(1.6400324*cos(cos((x - cos((x + 0.07271545)**2))**2)))))),PySRFunction(X=>0.981735787411006*sin(2.74202743535094*sqrt(x**2/sqrt(cos(1.6400324*cos(cos((x - cos((x + 0.07271545)**2))**2)))))))
25,2.080248e-05,sin(sqrt(x * (x / (sqrt(cos(cos(cos(sqrt(cos(sqrt(sqrt(x + 0.07271545)))) - x)) * 1.6400324)) * 0.13300146)))) / 1.018604,0.013274192385976847,0.981735787411006*sin(2.74202743535094*sqrt(x**2/sqrt(cos(1.6400324*cos(cos(x - sqrt(cos((x + 0.07271545)**(1/4))))))))),PySRFunction(X=>0.981735787411006*sin(2.74202743535094*sqrt(x**2/sqrt(cos(1.6400324*cos(cos(x - sqrt(cos((x + 0.07271545)**(1/4))))))))))
