Time_s,Time_Min,Solar_Flux_W_m2,Albedo_Flux_W_m2,Earth_IR_Flux_W_m2,Total_Flux_W_m2,Is_Eclipse,T_CPU_C,T_Battery_C,T_Payload_C,T_Structure_C,T_Radiator_C,T_Panels_C
0.0,0.0,1314.63,349.17,240.0,1903.79,0,20.0,20.0,20.0,20.0,20.0,20.0
5.0,0.08,1314.6,349.16,240.0,1903.76,0,20.35,20.0,20.07,19.95,18.75,24.34
10.0,0.17,1314.54,349.14,240.0,1903.68,0,20.69,20.0,20.15,19.9,17.67,28.62
15.0,0.25,1314.44,349.12,240.0,1903.55,0,21.0,20.0,20.22,19.85,16.72,32.83
20.0,0.33,1314.29,349.08,240.0,1903.36,0,21.3,20.0,20.28,19.8,15.89,36.98
25.0,0.42,1314.1,349.03,240.0,1903.12,0,21.58,20.0,20.34,19.75,15.17,41.05
30.0,0.5,1313.87,348.96,240.0,1902.83,0,21.85,20.01,20.4,19.7,14.54,45.07
35.0,0.58,1313.59,348.89,240.0,1902.48,0,22.1,20.01,20.46,19.66,13.98,49.02
40.0,0.67,1313.27,348.81,240.0,1902.08,0,22.33,20.01,20.52,19.63,13.5,52.91
45.0,0.75,1312.92,348.71,240.0,1901.63,0,22.56,20.0,20.57,19.61,13.07,56.73
50.0,0.83,1312.52,348.61,240.0,1901.12,0,22.77,20.0,20.62,19.59,12.7,60.49
55.0,0.92,1312.07,348.49,240.0,1900.56,0,22.97,20.0,20.67,19.59,12.38,64.19
60.0,1.0,1311.59,348.36,240.0,1899.95,0,23.16,20.0,20.72,19.59,12.1,67.83
65.0,1.08,1311.06,348.22,240.0,1899.28,0,23.34,20.0,20.77,19.61,11.86,71.41
70.0,1.17,1310.49,348.07,240.0,1898.56,0,23.51,20.0,20.81,19.63,11.65,74.92
75.0,1.25,1309.88,347.91,240.0,1897.79,0,23.68,20.0,20.86,19.66,11.47,78.38
80.0,1.33,1309.23,347.73,240.0,1896.96,0,23.84,20.0,20.91,19.71,11.33,81.78
85.0,1.42,1308.53,347.55,240.0,1896.08,0,23.99,20.0,20.95,19.76,11.2,85.12
90.0,1.5,1307.79,347.35,240.0,1895.15,0,24.14,20.0,21.0,19.82,11.1,88.41
95.0,1.58,1307.02,347.15,240.0,1894.16,0,24.29,20.0,21.05,19.89,11.02,91.64
100.0,1.67,1306.19,346.93,240.0,1893.12,0,24.43,20.01,21.1,19.98,10.96,94.81
105.0,1.75,1305.33,346.7,240.0,1892.03,0,24.57,20.01,21.14,20.07,10.92,97.93
110.0,1.83,1304.43,346.46,240.0,1890.88,0,24.71,20.01,21.19,20.16,10.89,100.99
115.0,1.92,1303.48,346.21,240.0,1889.68,0,24.85,20.01,21.25,20.27,10.88,103.99
120.0,2.0,1302.49,345.94,240.0,1888.43,0,24.98,20.02,21.3,20.38,10.89,106.95
125.0,2.08,1301.46,345.67,240.0,1887.13,0,25.11,20.02,21.35,20.51,10.91,109.85
130.0,2.17,1300.39,345.38,240.0,1885.77,0,25.25,20.02,21.41,20.64,10.93,112.7
135.0,2.25,1299.27,345.09,240.0,1884.36,0,25.38,20.03,21.47,20.77,10.98,115.49
140.0,2.33,1298.12,344.78,240.0,1882.9,0,25.51,20.03,21.53,20.92,11.03,118.24
145.0,2.42,1296.92,344.46,240.0,1881.38,0,25.65,20.04,21.59,21.07,11.09,120.93
150.0,2.5,1295.68,344.13,240.0,1879.82,0,25.78,20.05,21.65,21.23,11.16,123.58
155.0,2.58,1294.4,343.79,240.0,1878.19,0,25.92,20.06,21.72,21.39,11.25,126.17
160.0,2.67,1293.08,343.44,240.0,1876.52,0,26.06,20.06,21.79,21.56,11.34,128.72
165.0,2.75,1291.71,343.08,240.0,1874.79,0,26.2,20.07,21.86,21.74,11.43,131.22
170.0,2.83,1290.31,342.71,240.0,1873.02,0,26.34,20.08,21.93,21.92,11.54,133.67
175.0,2.92,1288.86,342.32,240.0,1871.19,0,26.48,20.1,22.01,22.11,11.65,136.07
180.0,3.0,1287.37,341.93,240.0,1869.3,0,26.63,20.11,22.09,22.3,11.78,138.43
185.0,3.08,1285.84,341.52,240.0,1867.37,0,26.78,20.12,22.17,22.5,11.9,140.74
190.0,3.17,1284.27,341.11,240.0,1865.38,0,26.93,20.13,22.26,22.7,12.04,143.01
195.0,3.25,1282.66,340.68,240.0,1863.34,0,27.08,20.15,22.35,22.9,12.18,145.23
200.0,3.33,1281.01,340.24,240.0,1861.25,0,27.24,20.17,22.44,23.11,12.32,147.41
205.0,3.42,1279.31,339.79,240.0,1859.1,0,27.4,20.18,22.53,23.33,12.47,149.54
210.0,3.5,1277.58,339.33,240.0,1856.91,0,27.56,20.2,22.63,23.55,12.63,151.63
215.0,3.58,1275.8,338.86,240.0,1854.66,0,27.72,20.22,22.73,23.77,12.79,153.68
220.0,3.67,1273.99,338.37,240.0,1852.36,0,27.89,20.24,22.84,23.99,12.96,155.68
225.0,3.75,1272.13,337.88,240.0,1850.01,0,28.06,20.26,22.94,24.22,13.13,157.65
230.0,3.83,1270.23,337.37,240.0,1847.6,0,28.23,20.28,23.05,24.46,13.3,159.57
235.0,3.92,1268.29,336.86,240.0,1845.15,0,28.41,20.3,23.17,24.69,13.48,161.45
240.0,4.0,1266.31,336.33,240.0,1842.64,0,28.59,20.33,23.28,24.93,13.67,163.29
245.0,4.08,1264.29,335.8,240.0,1840.08,0,28.77,20.35,23.4,25.17,13.85,165.1
250.0,4.17,1262.23,335.25,240.0,1837.48,0,28.95,20.38,23.52,25.42,14.04,166.86
255.0,4.25,1260.12,334.69,240.0,1834.81,0,29.14,20.41,23.65,25.66,14.24,168.59
260.0,4.33,1257.98,334.12,240.0,1832.1,0,29.33,20.44,23.77,25.91,14.43,170.28
265.0,4.42,1255.8,333.54,240.0,1829.34,0,29.53,20.47,23.91,26.16,14.63,171.93
270.0,4.5,1253.57,332.95,240.0,1826.53,0,29.72,20.5,24.04,26.41,14.84,173.54
275.0,4.58,1251.31,332.35,240.0,1823.66,0,29.92,20.53,24.18,26.67,15.04,175.12
280.0,4.67,1249.01,331.74,240.0,1820.75,0,30.12,20.56,24.32,26.93,15.25,176.66
285.0,4.75,1246.66,331.12,240.0,1817.78,0,30.33,20.59,24.46,27.18,15.46,178.17
290.0,4.83,1244.28,330.48,240.0,1814.76,0,30.53,20.63,24.6,27.44,15.67,179.65
295.0,4.92,1241.86,329.84,240.0,1811.7,0,30.74,20.67,24.75,27.71,15.89,181.08
300.0,5.0,1239.39,329.18,240.0,1808.58,0,30.96,20.7,24.9,27.97,16.1,182.49
305.0,5.08,1236.89,328.52,240.0,1805.41,0,31.17,20.74,25.06,28.23,16.32,183.86
310.0,5.17,1234.35,327.84,240.0,1802.19,0,31.39,20.78,25.21,28.5,16.54,185.2
315.0,5.25,1231.76,327.16,240.0,1798.92,0,31.61,20.82,25.37,28.76,16.77,186.5
320.0,5.33,1229.14,326.46,240.0,1795.6,0,31.83,20.86,25.53,29.03,16.99,187.78
325.0,5.42,1226.48,325.75,240.0,1792.23,0,32.05,20.91,25.7,29.3,17.22,189.02
330.0,5.5,1223.78,325.04,240.0,1788.82,0,32.28,20.95,25.87,29.57,17.44,190.23
335.0,5.58,1221.04,324.31,240.0,1785.35,0,32.51,21.0,26.04,29.84,17.67,191.42
340.0,5.67,1218.26,323.57,240.0,1781.83,0,32.74,21.04,26.21,30.11,17.9,192.57
345.0,5.75,1215.44,322.82,240.0,1778.26,0,32.97,21.09,26.38,30.38,18.13,193.69
350.0,5.83,1212.58,322.06,240.0,1774.64,0,33.2,21.14,26.56,30.65,18.36,194.78
355.0,5.92,1209.68,321.29,240.0,1770.98,0,33.44,21.19,26.74,30.93,18.59,195.84
360.0,6.0,1206.75,320.51,240.0,1767.26,0,33.68,21.24,26.92,31.2,18.82,196.88
365.0,6.08,1203.77,319.72,240.0,1763.5,0,33.92,21.29,27.1,31.47,19.06,197.89
370.0,6.17,1200.76,318.92,240.0,1759.69,0,34.16,21.34,27.29,31.74,19.29,198.87
375.0,6.25,1197.71,318.11,240.0,1755.82,0,34.4,21.4,27.48,32.02,19.53,199.82
