Step,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Mode,Watchdogs,ECC_Repairs,Sensor_CPU_Status,Sensor_Battery_Status
0,0.0,12.566944982092082,17.82886108789785,9.735443958075678,33.0,NOMINAL,0,0,NOMINAL,NOMINAL
4,0.16666666666666666,66.50039877332478,44.49363090890466,54.89857706182812,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
8,0.3333333333333333,10.594895456036966,6.447509858911303,3.0692523350383567,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
12,0.5,35.584602288441204,28.087368726864895,23.443350552370703,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
16,0.6666666666666666,66.58080413293777,44.619903568336156,54.98278156953444,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
20,0.8333333333333334,10.595551566725476,6.44837279293597,3.0699255789417634,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
24,1.0,35.58460614537381,28.087374208372637,23.443354529284306,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
28,1.1666666666666667,66.58080415675681,44.61990360575106,54.98278159447915,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
32,1.3333333333333333,10.59555156691971,6.448372793191481,3.0699255791409996,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
36,1.5,35.58460614537506,28.08737420837417,23.4433545292855,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
40,1.6666666666666667,66.5808041567571,44.619903605751176,54.98278159447938,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
44,1.8333333333333333,10.595551566919823,6.448372793191595,3.06992557914117,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
48,2.0,35.58460614537506,28.08737420837417,23.4433545292855,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
52,2.1666666666666665,66.5808041567571,44.619903605751176,54.98278159447938,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
56,2.3333333333333335,10.595551566919937,6.448372793191709,3.069925579141284,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
60,2.5,35.58460614537529,28.087374208374456,23.443354529285727,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
64,2.6666666666666665,66.58080415675721,44.61990360575123,54.98278159447949,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
68,2.8333333333333335,10.59555156691988,6.448372793191652,3.069925579141227,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
72,3.0,35.58460614537529,28.087374208374456,23.443354529285727,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
76,3.1666666666666665,66.58080415675744,44.61990360575135,54.98278159447972,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
80,3.3333333333333335,10.595551566919937,6.448372793191709,3.069925579141284,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
84,3.5,35.584606145375176,28.087374208374342,23.443354529285614,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
88,3.6666666666666665,66.58080415675715,44.61990360575123,54.982781594479434,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
92,3.8333333333333335,10.59555156691971,6.448372793191538,3.0699255791411133,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
96,4.0,35.584606145375346,28.08737420837457,23.443354529285784,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
100,4.166666666666667,66.58080415675761,44.61990360575135,54.98278159447989,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
104,4.333333333333333,10.59555156691988,6.448372793191652,3.069925579141227,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
108,4.5,35.58460614537523,28.087374208374456,23.44335452928567,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
112,4.666666666666667,66.58080415675738,44.61990360575146,54.98278159447966,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
116,4.833333333333333,10.595551566919994,6.448372793191879,3.0699255791413975,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
120,5.0,35.58460614537546,28.08737420837474,23.443354529285955,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
124,5.166666666666667,66.58080415675761,44.619903605751404,54.98278159447989,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
