config_id,p_intra,p_inter,spectral_dimension,mean_curvature,mean_volume,std_volume,vol_slice_0,vol_slice_1,vol_slice_2,vol_slice_3,vol_slice_4
0,0.4858982047534455,0.14366003478491676,1.5272983359843635,0.5993000898051688,50.0,0.0,50.0,50.0,50.0,50.0,50.0
1,0.39963209507789,0.8605714451279329,0.9451171403186507,0.8874656716604935,50.0,0.0,50.0,50.0,50.0,50.0,50.0
2,0.19204365311182317,0.5872532314235851,1.401325814525751,0.49480330598868827,50.0,0.0,50.0,50.0,50.0,50.0,50.0
3,0.7678737189325195,0.1838368834958958,1.0788366993657683,0.987721773128,50.0,0.0,50.0,50.0,50.0,50.0,50.0
4,0.8912092107804801,0.5396357814757804,0.8214504718554335,1.2035862466160752,50.0,0.0,50.0,50.0,50.0,50.0,50.0
5,0.7270658806446005,0.6078669648421842,0.9008322051467437,1.0973543628937974,50.0,0.0,50.0,50.0,50.0,50.0,50.0
6,0.19079077751491963,0.8795864755491654,1.0467453299251994,0.5086103509863868,50.0,0.0,50.0,50.0,50.0,50.0,50.0
7,0.1139922167449221,0.8132586137442067,1.137242507391023,0.3343727632149052,50.0,0.0,50.0,50.0,50.0,50.0,50.0
8,0.3407715646847317,0.29764946556945154,1.627651474360826,0.5191864198239248,50.0,0.0,50.0,50.0,50.0,50.0,50.0
9,0.49568131643041713,0.282466483559469,1.4134856657008996,0.6425444340892432,50.0,0.0,50.0,50.0,50.0,50.0,50.0
10,0.6405851324028419,0.13576974576235684,1.2413707016094813,0.8510429100044676,50.0,0.0,50.0,50.0,50.0,50.0,50.0
11,0.7584882725678336,0.12089438525589387,1.050873019441496,1.0465416188893404,50.0,0.0,50.0,50.0,50.0,50.0,50.0
