path,sources,disposition,rationale
adversarial_feature_report.json,generated,REVIEW,Not enough confidence for automated disposition.
artifacts/autonomous_session.json,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/discovery_report.md,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/experiments.db,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/qg_discovery_report.md,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/qg_geometric_audit.json,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/robustness_report.md,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/robustness_results.csv,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/sota_report.md,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/sota_results.csv,duplicate|generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
artifacts/sota_summary.csv,generated,ARCHIVE,Generated evidence or historical result; move only with manifest and compatibility path if referenced.
bayesian_theory_report.json,generated,REVIEW,Not enough confidence for automated disposition.
benchmarks/reports/CALIBRATION_AWARE_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/COMMERCIAL_POSITION_FINAL.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/COMPILER_COMPARISON_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/EVOLUTION_ABLATION_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/investor_executive_summary.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE3_HARDWARE_AWARE_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE3_INVESTOR_SUMMARY.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE4_COMMERCIAL_POSITIONING.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE4_COMPETITIVE_ADVANTAGE_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE4_INVESTOR_SUMMARY.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE5_INVESTOR_SUMMARY.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE5_IP_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_COMPETITIVE_MOAT_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_ECONOMIC_IMPACT_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_INVESTOR_SUMMARY.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_IP_VALUATION_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_LICENSING_MODEL.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE6_RISK_ANALYSIS.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_COMPETITIVE_GAP_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_ECONOMIC_MOAT_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_EXECUTIVE_SUMMARY.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_INVESTOR_POSITIONING.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_KNOWLEDGE_FLYWHEEL_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_NETWORK_EFFECT_REPORT.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PHASE7_PLATFORM_ANALYSIS.md,duplicate|generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/PLACEMENT_ABLATION_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/REPRODUCIBILITY_GUIDE.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/ROUTING_COMPARISON_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
benchmarks/reports/SCALING_REPORT.md,generated,KEEP,"Evidence, public report, benchmark result, or active verification baseline."
