duplicate_group,file,group_size,recommendation
1,cad_thermal_network.json,2,choose canonical owner; archive/delete duplicate only after approval
1,satelite/cad_thermal_network.json,2,choose canonical owner; archive/delete duplicate only after approval
2,geometry_optimal_design.json,3,choose canonical owner; archive/delete duplicate only after approval
2,satelite/geometry_optimal_design.json,3,choose canonical owner; archive/delete duplicate only after approval
2,satelite/datasets/geometry_optimal_design.json,3,choose canonical owner; archive/delete duplicate only after approval
3,geometry_optimization_report.md,2,choose canonical owner; archive/delete duplicate only after approval
3,satelite/reports/geometry_optimization_report.md,2,choose canonical owner; archive/delete duplicate only after approval
4,QUANTUM_DOMAIN_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
4,docs/QUANTUM_DOMAIN_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
5,QUANTUM_FITNESS_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
5,docs/QUANTUM_FITNESS_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
6,QUANTUM_KNOWLEDGE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
6,docs/QUANTUM_KNOWLEDGE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
7,QUANTUM_SANDBOX_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
7,docs/QUANTUM_SANDBOX_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
8,run_all_benchmarks.py,2,choose canonical owner; archive/delete duplicate only after approval
8,benchmarks/run_all_benchmarks.py,2,choose canonical owner; archive/delete duplicate only after approval
9,synergy_registry.json,2,choose canonical owner; archive/delete duplicate only after approval
9,physics/artifacts/domain_adaptation_results.json,2,choose canonical owner; archive/delete duplicate only after approval
10,artifacts/sota_results.csv,2,choose canonical owner; archive/delete duplicate only after approval
10,results/phase8c/sota_benchmark.csv,2,choose canonical owner; archive/delete duplicate only after approval
11,dashboard/.gitignore,2,choose canonical owner; archive/delete duplicate only after approval
11,satelite/dashboard/.gitignore,2,choose canonical owner; archive/delete duplicate only after approval
12,dashboard/AGENTS.md,2,choose canonical owner; archive/delete duplicate only after approval
12,satelite/dashboard/AGENTS.md,2,choose canonical owner; archive/delete duplicate only after approval
13,dashboard/CLAUDE.md,2,choose canonical owner; archive/delete duplicate only after approval
13,satelite/dashboard/CLAUDE.md,2,choose canonical owner; archive/delete duplicate only after approval
14,dashboard/next-env.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
14,satelite/dashboard/next-env.d.ts,2,choose canonical owner; archive/delete duplicate only after approval
15,dashboard/next-start-observability-3051.err.log,11,choose canonical owner; archive/delete duplicate only after approval
15,dashboard/next-start-observability-3052.err.log,11,choose canonical owner; archive/delete duplicate only after approval
15,physics/benchmark_log.txt,11,choose canonical owner; archive/delete duplicate only after approval
15,dashboard/.next/turbopack,11,choose canonical owner; archive/delete duplicate only after approval
15,physics/agents/__init__.py,11,choose canonical owner; archive/delete duplicate only after approval
15,physics/core/__init__.py,11,choose canonical owner; archive/delete duplicate only after approval
15,physics/unification_search/__init__.py,11,choose canonical owner; archive/delete duplicate only after approval
15,physics/warp/__init__.py,11,choose canonical owner; archive/delete duplicate only after approval
15,satelite/dashboard/next-start-observability-3051.err.log,11,choose canonical owner; archive/delete duplicate only after approval
15,satelite/dashboard/next-start-observability-3052.err.log,11,choose canonical owner; archive/delete duplicate only after approval
15,satelite/satellite/warp/__init__.py,11,choose canonical owner; archive/delete duplicate only after approval
16,dashboard/next-start-observability-3051.out.log,2,choose canonical owner; archive/delete duplicate only after approval
16,satelite/dashboard/next-start-observability-3051.out.log,2,choose canonical owner; archive/delete duplicate only after approval
17,dashboard/next-start-observability-3052.out.log,2,choose canonical owner; archive/delete duplicate only after approval
17,satelite/dashboard/next-start-observability-3052.out.log,2,choose canonical owner; archive/delete duplicate only after approval
18,dashboard/next-start-observability.err.log,2,choose canonical owner; archive/delete duplicate only after approval
18,satelite/dashboard/next-start-observability.err.log,2,choose canonical owner; archive/delete duplicate only after approval
19,dashboard/next-start-observability.out.log,2,choose canonical owner; archive/delete duplicate only after approval
19,satelite/dashboard/next-start-observability.out.log,2,choose canonical owner; archive/delete duplicate only after approval
20,dashboard/next.config.ts,2,choose canonical owner; archive/delete duplicate only after approval
20,satelite/dashboard/next.config.ts,2,choose canonical owner; archive/delete duplicate only after approval
21,dashboard/package-lock.json,2,choose canonical owner; archive/delete duplicate only after approval
21,satelite/dashboard/package-lock.json,2,choose canonical owner; archive/delete duplicate only after approval
22,dashboard/package.json,2,choose canonical owner; archive/delete duplicate only after approval
22,satelite/dashboard/package.json,2,choose canonical owner; archive/delete duplicate only after approval
23,dashboard/playwright.config.ts,2,choose canonical owner; archive/delete duplicate only after approval
23,satelite/dashboard/playwright.config.ts,2,choose canonical owner; archive/delete duplicate only after approval
24,dashboard/postcss.config.mjs,2,choose canonical owner; archive/delete duplicate only after approval
24,satelite/dashboard/postcss.config.mjs,2,choose canonical owner; archive/delete duplicate only after approval
25,dashboard/tsconfig.json,2,choose canonical owner; archive/delete duplicate only after approval
25,satelite/dashboard/tsconfig.json,2,choose canonical owner; archive/delete duplicate only after approval
26,docs/PHASE3_HARDWARE_AWARE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
26,benchmarks/reports/PHASE3_HARDWARE_AWARE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
27,docs/PHASE3_HARDWARE_AWARE_RESULTS.csv,3,choose canonical owner; archive/delete duplicate only after approval
27,benchmarks/results/COMPLETE_PHASE3_RESULTS.csv,3,choose canonical owner; archive/delete duplicate only after approval
27,benchmarks/results/PHASE3_HARDWARE_AWARE_RESULTS.csv,3,choose canonical owner; archive/delete duplicate only after approval
28,docs/PHASE3_INVESTOR_SUMMARY.md,3,choose canonical owner; archive/delete duplicate only after approval
28,benchmarks/reports/investor_executive_summary.md,3,choose canonical owner; archive/delete duplicate only after approval
28,benchmarks/reports/PHASE3_INVESTOR_SUMMARY.md,3,choose canonical owner; archive/delete duplicate only after approval
29,docs/PHASE4_COMMERCIAL_POSITIONING.md,2,choose canonical owner; archive/delete duplicate only after approval
29,benchmarks/reports/PHASE4_COMMERCIAL_POSITIONING.md,2,choose canonical owner; archive/delete duplicate only after approval
30,docs/PHASE4_COMPETITIVE_ADVANTAGE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
30,benchmarks/reports/PHASE4_COMPETITIVE_ADVANTAGE_REPORT.md,2,choose canonical owner; archive/delete duplicate only after approval
31,docs/PHASE4_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
31,benchmarks/reports/PHASE4_INVESTOR_SUMMARY.md,2,choose canonical owner; archive/delete duplicate only after approval
