file,owner_subsystem,type,bytes,reason,recommendation
adversarial_feature_report.json,<root>,.json,1117,generated extension or report pattern,"keep if cited, otherwise archive by domain"
bayesian_theory_report.json,<root>,.json,3612,generated extension or report pattern,"keep if cited, otherwise archive by domain"
blind_validation_report.json,<root>,.json,7413,generated extension or report pattern,"keep if cited, otherwise archive by domain"
calibration_audit_report.json,<root>,.json,373,generated extension or report pattern,"keep if cited, otherwise archive by domain"
consistency_audit_report.json,<root>,.json,3401,generated extension or report pattern,"keep if cited, otherwise archive by domain"
counterfactual_scaffold_report.json,<root>,.json,1017,generated extension or report pattern,"keep if cited, otherwise archive by domain"
cross_domain_discovery_report.json,<root>,.json,933,generated extension or report pattern,"keep if cited, otherwise archive by domain"
cross_simulator_report.json,<root>,.json,9394,generated extension or report pattern,"keep if cited, otherwise archive by domain"
dataset_integrity_report.json,<root>,.json,896,generated extension or report pattern,"keep if cited, otherwise archive by domain"
discovery_benchmark_report.json,<root>,.json,720,generated extension or report pattern,"keep if cited, otherwise archive by domain"
discovery_compression_report.json,<root>,.json,694,generated extension or report pattern,"keep if cited, otherwise archive by domain"
domain_holdout_report.json,<root>,.json,274,generated extension or report pattern,"keep if cited, otherwise archive by domain"
evidence_memory.db,<root>,.db,53248,generated extension or report pattern,"keep if cited, otherwise archive by domain"
external_reproduction_report.json,<root>,.json,280,generated extension or report pattern,"keep if cited, otherwise archive by domain"
failure_cause_report.json,<root>,.json,1603,generated extension or report pattern,"keep if cited, otherwise archive by domain"
fdr_report.json,<root>,.json,5356,generated extension or report pattern,"keep if cited, otherwise archive by domain"
hardware_adversary_report.json,<root>,.json,296,generated extension or report pattern,"keep if cited, otherwise archive by domain"
hardware_consensus_report.json,<root>,.json,440,generated extension or report pattern,"keep if cited, otherwise archive by domain"
hardware_fdr_report.json,<root>,.json,428,generated extension or report pattern,"keep if cited, otherwise archive by domain"
hardware_replication_report.json,<root>,.json,1176,generated extension or report pattern,"keep if cited, otherwise archive by domain"
hardware_theory_tournament_report.json,<root>,.json,360,generated extension or report pattern,"keep if cited, otherwise archive by domain"
historical_recovery_report.json,<root>,.json,1805,generated extension or report pattern,"keep if cited, otherwise archive by domain"
historical_theory_recovery_report.json,<root>,.json,915,generated extension or report pattern,"keep if cited, otherwise archive by domain"
holdout_report.json,<root>,.json,9744,generated extension or report pattern,"keep if cited, otherwise archive by domain"
label_shuffle_report.json,<root>,.json,1606,generated extension or report pattern,"keep if cited, otherwise archive by domain"
law_discovery_benchmark_report.json,<root>,.json,523,generated extension or report pattern,"keep if cited, otherwise archive by domain"
leakage_forensics_report.json,<root>,.json,4970,generated extension or report pattern,"keep if cited, otherwise archive by domain"
lineage_report.json,<root>,.json,2280,generated extension or report pattern,"keep if cited, otherwise archive by domain"
meta_law_validation_report.json,<root>,.json,624,generated extension or report pattern,"keep if cited, otherwise archive by domain"
minimality_report.json,<root>,.json,8171,generated extension or report pattern,"keep if cited, otherwise archive by domain"
novel_structure_report.json,<root>,.json,315,generated extension or report pattern,"keep if cited, otherwise archive by domain"
ood_hardware_validation_report.json,<root>,.json,440,generated extension or report pattern,"keep if cited, otherwise archive by domain"
optimization_removal_report.json,<root>,.json,393,generated extension or report pattern,"keep if cited, otherwise archive by domain"
physical_mechanism_validation_report.json,<root>,.json,519,generated extension or report pattern,"keep if cited, otherwise archive by domain"
random_evolution_report.json,<root>,.json,457,generated extension or report pattern,"keep if cited, otherwise archive by domain"
realism_audit_report.json,<root>,.json,633,generated extension or report pattern,"keep if cited, otherwise archive by domain"
reality_evolution_report.json,<root>,.json,317,generated extension or report pattern,"keep if cited, otherwise archive by domain"
reality_gap_report.json,<root>,.json,4309,generated extension or report pattern,"keep if cited, otherwise archive by domain"
reality_native.db,<root>,.db,86016,generated extension or report pattern,"keep if cited, otherwise archive by domain"
reproducibility_report.json,<root>,.json,1046,generated extension or report pattern,"keep if cited, otherwise archive by domain"
