file,source_domain,target_domain,import,cross_domain,note
run_all_benchmarks.py,<root>,quantum,quantum.integration.qiskit_adapter,False,
run_all_benchmarks.py,<root>,quantum,quantum.integration.pyzx_adapter,False,
run_all_benchmarks.py,<root>,quantum,quantum.integration.tket_adapter,False,
run_all_benchmarks.py,<root>,quantum,quantum.integration.bqskit_adapter,False,
run_all_benchmarks.py,<root>,quantum,quantum.integration.cirq_adapter,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.qubit_placement,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.routing_engine,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.calibration_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.hardware_cost_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.qiskit_plugin,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.motif_discovery,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.motif_knowledge_graph,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.motif_ranking,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.motif_rewriter,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.motif_economic_analysis,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.execution_cost_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.ip_portfolio_valuation,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.licensing_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.knowledge_flywheel,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.knowledge_value_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.competitive_gap_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.network_effect_model,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.platform_transition,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.economic_moat,False,
run_all_benchmarks.py,<root>,quantum,quantum.evolution.population_manager,False,
run_all_benchmarks.py,<root>,quantum,quantum.evolution.evolution_engine,False,
run_all_benchmarks.py,<root>,quantum,quantum.critics.quantum_critic,False,
run_all_benchmarks.py,<root>,quantum,quantum.sandbox.qiskit_quantum_sandbox,False,
run_all_benchmarks.py,<root>,quantum,quantum.optimization.pyzx_optimizer,False,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.integration.qiskit_adapter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.integration.pyzx_adapter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.integration.tket_adapter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.integration.bqskit_adapter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.integration.cirq_adapter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.qubit_placement,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.routing_engine,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.calibration_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.hardware_cost_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.qiskit_plugin,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.motif_discovery,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.motif_knowledge_graph,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.motif_ranking,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.motif_rewriter,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.motif_economic_analysis,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.execution_cost_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.ip_portfolio_valuation,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.licensing_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.knowledge_flywheel,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.knowledge_value_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.competitive_gap_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.network_effect_model,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.platform_transition,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.economic_moat,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.evolution.population_manager,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.evolution.evolution_engine,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.critics.quantum_critic,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.sandbox.qiskit_quantum_sandbox,True,
benchmarks/run_all_benchmarks.py,benchmarks,quantum,quantum.optimization.pyzx_optimizer,True,
dashboard/app.py,dashboard,dashboard,dashboard.warp_page,False,
physics/ablation_study.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/adversarial_scientific_validation.py,physics,physics,physics.core.base_module,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.physics_sanity_engine,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.scientific_guard,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.bias_detector,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.multi_agent_system,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.scientific_memory_advanced,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.autonomous_scientific_cycle,False,
physics/adversarial_scientific_validation.py,physics,physics,physics.knowledge_graph,False,
physics/adversarial_scientific_validation.py,physics,core,core.base_module,True,
physics/autonomous_scientific_cycle.py,physics,physics,physics.core.base_module,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.cross_domain_transfer,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.distributed_execution,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.domain_adaptation,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.frontier_discovery,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.knowledge_graph,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.meta_learning_engine,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.multi_agent_system,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.physics_sanity_engine,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.scientific_guard,False,
physics/autonomous_scientific_cycle.py,physics,physics,physics.scientific_memory_advanced,False,
physics/autonomous_scientific_cycle.py,physics,core,core.base_module,True,
physics/benchmark_scientific_system.py,physics,core,core.autonomous.latent_snapshot_exporter,True,
physics/benchmark_scientific_system.py,physics,physics,physics.core.autonomous.autonomous_scientist,False,
physics/bias_detector.py,physics,physics,physics.core.base_module,False,
physics/bias_detector.py,physics,core,core.base_module,True,
physics/blind_scientific_benchmark.py,physics,physics,physics.core.base_module,False,
physics/blind_scientific_benchmark.py,physics,physics,physics.core.neurosymbolic.symbolic,False,
physics/blind_scientific_benchmark.py,physics,physics,physics.agents.theory_critic,False,
physics/blind_scientific_benchmark.py,physics,physics,physics.agents.hypothesis_generator,False,
physics/cross_domain_transfer.py,physics,physics,physics.core.base_module,False,
physics/cross_domain_transfer.py,physics,physics,physics.domain_adaptation,False,
physics/cross_domain_transfer.py,physics,physics,physics.real_data_ingestor,False,
physics/cross_domain_transfer.py,physics,core,core.base_module,True,
physics/deep_representation_audit.py,physics,core,core.empirical.causal_continuity_audit,True,
physics/distributed_execution.py,physics,physics,physics.core.base_module,False,
physics/distributed_execution.py,physics,core,core.base_module,True,
physics/domain_adaptation.py,physics,physics,physics.core.base_module,False,
physics/domain_adaptation.py,physics,physics,physics.neurosymbolic.audit,False,
