motif_id,motif_type,gate_reduction,two_qubit_reduction,depth_reduction,duration_reduction,estimated_fidelity_gain,estimated_error_reduction,frequency_of_occurrence,transferability,family_count,ibm_saved_two_qubit_operations,ibm_saved_execution_time_us,ibm_saved_error_probability,ibm_saved_shots_required,ion_trap_saved_execution_time_us,neutral_atom_saved_execution_time_us,families
motif_7a0884c44bb7c14b,cancellation_pattern,2.0,0.0,2.0,0.12,0.9870646407180846,0.9870646407180846,44,1.0,4,0.0,5.279999999999999,1.0,1000.0,880.0,17.6,"{""ADAPT-VQE"": 1, ""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_bbfc459399ecbfc7,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_307f6707374de704,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_ea7fc312c7c9af2a,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_090e37025c96a8bc,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_89ed860cb55bd827,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_956144356c6edd22,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,5,1.0,3,0.0,0.5,0.03783203125,37.83203125,100.0,2.0,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_a65a11902c7503cd,cancellation_pattern,2.0,2.0,2.0,1.74,0.9880052439772314,0.9880052439772314,83,1.0,3,166.0,144.42,1.0,1000.0,19920.0,144.42,"{""Error Mitigation"": 1, ""QFT"": 1, ""Quantum Kernel"": 1}"
motif_e66f0ef6f44da17a,rotation_cancellation,2.0,0.0,2.0,0.24,0.9871088053152317,0.9871088053152317,6,1.0,1,0.0,1.44,0.9991088053152317,999.1088053152317,120.0,2.4000000000000004,"{""ADAPT-VQE"": 1}"
motif_6828d62ca193d193,rotation_cancellation,2.0,0.0,2.0,0.24,0.9871088053152317,0.9871088053152317,6,0.0,1,0.0,1.44,0.9991088053152317,999.1088053152317,120.0,2.4000000000000004,"{""ADAPT-VQE"": 1}"
motif_5f8b73934973613d,rotation_cancellation,2.0,0.0,2.0,0.24,0.9871088053152317,0.9871088053152317,6,0.0,1,0.0,1.44,0.9991088053152317,999.1088053152317,120.0,2.4000000000000004,"{""ADAPT-VQE"": 1}"
motif_459aa7c5c9b79318,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,1,1.0,1,0.0,0.1,0.029832031250000002,29.83203125,20.0,0.4,"{""Error Mitigation"": 1}"
motif_bbc7bb9f8bd046af,rotation_cancellation,2.0,0.0,2.0,0.0,0.02783203125,0.02783203125,1,1.0,1,0.0,0.1,0.029832031250000002,29.83203125,20.0,0.4,"{""Error Mitigation"": 1}"
