folder,classification,purpose,owner_subsystem,direct_file_count,recursive_file_count,dependencies,importance,recommendation
.agent,Temporary Files,Temporary Files folder under <root>,<root>,0,31,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or exclude from publication
.agent/skills,Unknown,Unknown folder under .agent,.agent,0,31,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/git-repo-guardian,Unknown,Unknown folder under .agent,.agent,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/nextjs-app-router-architect,Unknown,Unknown folder under .agent,.agent,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/python-telemetry-executor,Unknown,Unknown folder under .agent,.agent,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/ui-ux-pro-max,Unknown,Unknown folder under .agent,.agent,1,28,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/ui-ux-pro-max/data,Research,Research folder under .agent,.agent,11,24,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
.agent/skills/ui-ux-pro-max/data/stacks,Unknown,Unknown folder under .agent,.agent,13,13,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.agent/skills/ui-ux-pro-max/scripts,Unknown,Unknown folder under .agent,.agent,3,3,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
.github,Infrastructure,Infrastructure folder under <root>,<root>,0,2,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
.github/workflows,Unknown,Unknown folder under .github,.github,2,2,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
artifacts,Generated Artifacts,Generated Artifacts folder under <root>,<root>,10,10,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
artifacts/phase8_flags,Generated Artifacts,Generated Artifacts folder under artifacts,artifacts,0,0,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
benchmark,Testing,Testing folder under <root>,<root>,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
benchmarks,Testing,QADE benchmark outputs and runner,<root>,4,53,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep as QADE generated benchmark area or move under quantum/
benchmarks/compilers,Testing,Testing folder under benchmarks,benchmarks,0,0,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep as QADE generated benchmark area or move under quantum/
benchmarks/reports,Documentation,Documentation folder under benchmarks,benchmarks,29,29,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep as QADE generated benchmark area or move under quantum/
benchmarks/results,Testing,Testing folder under benchmarks,benchmarks,20,20,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep as QADE generated benchmark area or move under quantum/
configs,Infrastructure,Infrastructure folder under <root>,<root>,0,2,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
configs/domains,Unknown,Unknown folder under configs,configs,2,2,see DOMAIN_DEPENDENCY_REPORT.md,Low,Review manually before migration
core,Infrastructure,"Shared abstractions, registry, orchestration, observability",<root>,1,18,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
core/abstractions,Infrastructure,Infrastructure folder under core,core,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
core/domains,Infrastructure,Infrastructure folder under core,core,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
core/observability,Infrastructure,Infrastructure folder under core,core,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
core/orchestration,Infrastructure,Infrastructure folder under core,core,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard,Core Product,Next.js scientific observatory,<root>,19,1527,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
dashboard/.next,Core Product,Core Product folder under dashboard,dashboard,16,1236,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/build,Core Product,Core Product folder under dashboard,dashboard,3,13,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/build/chunks,Core Product,Core Product folder under dashboard,dashboard,10,10,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/cache,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev,Core Product,Core Product folder under dashboard,dashboard,6,250,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/build,Core Product,Core Product folder under dashboard,dashboard,3,13,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/build/chunks,Core Product,Core Product folder under dashboard,dashboard,10,10,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/cache,Core Product,Core Product folder under dashboard,dashboard,2,23,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/cache/turbopack,Core Product,Core Product folder under dashboard,dashboard,0,21,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/cache/turbopack/ee6e79b1,Core Product,Core Product folder under dashboard,dashboard,21,21,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/logs,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server,Core Product,Core Product folder under dashboard,dashboard,9,77,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server/app,Core Product,Core Product folder under dashboard,dashboard,0,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server/app/[lang],Core Product,Core Product folder under dashboard,dashboard,0,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server/app/[lang]/satellite,Core Product,Core Product folder under dashboard,dashboard,3,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server/app/[lang]/satellite/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/dev/server/chunks,Core Product,Core Product folder under dashboard,dashboard,0,60,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
