Complexity,Loss,Equation
1,0.08947163,"0.5928078"
3,0.06405899,"square(cos(x))"
4,0.00052319455,"sin(x * 3.1086702)"
6,0.0002127913,"sin((x * 3.0466673) + 0.052562315)"
8,0.00016287211,"sin((x * 3.0081916) + 0.0742628) + -0.012411783"
10,0.00015429955,"(sin((x * 2.972792) + 0.091301054) + -0.033556156) / 0.97820127"
11,2.4022384e-5,"sin((sin(x * 3.137345) + 0.0014995113) / 1.0690751) / 0.83374006"
15,1.9320869e-5,"(x / x) * ((sin(sin(x * 3.1412296) / 1.0763637) + 0.008427186) / 0.83759457)"
24,1.6537442e-5,"sin((sin(x * 3.1396084) + (sqrt((((x + 0.5040666) / 0.8685775) + (0.8994406 / x)) + -0.0021146003) * 0.004377741)) / 1.1050369) / 0.81709343"
25,1.3203596e-5,"sin((sin(x * 3.1383405) + ((sqrt(sin((x + 0.5040612) / 1.0523103) + (0.89943254 / x)) + -0.002203647) * 0.0051376233)) / 1.1329665) / 0.8014521"
27,9.967655e-6,"sin((sin((sin((x * 3.129265) + (sin((x * 0.08740953) + x) / 0.298124)) + 0.08864097) * 0.970844) * 0.08504648) + (x * 3.1324193)) * 0.9710504"
30,8.471417e-6,"(square(sin((x * 3.075614) + sin(sin(((x * 3.04955) + (x + 1.3034797)) + ((x + 1.2467387) * 0.22186871)))) * 0.32042) + sin(x * 3.145948)) * 0.9094162"
