ablation,system,module,baseline_mean,ablated_mean,delta_pct,cohens_d,ci95_lower,ci95_upper,impact,status
NO_TDA,lorenz,EV3,2.224899,2.224899,0.0,0.0,-6.454,6.57,Negligible,OK
NO_TDA,lorenz,EV3_EXT,220.274509,220.274509,0.0,0.0,-38.879,29.838,Negligible,OK
NO_TDA,lorenz,EV3_DEEP,321.240594,321.240594,0.0,0.0,-13.221,11.623,Negligible,OK
NO_TDA,lorenz,EV3_SCI,477.096576,477.096576,0.0,0.0,-4.356,3.734,Negligible,OK
NO_TDA,lorenz,SINDy,,,,,,,N/A,ERROR
NO_TDA,lorenz,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,lorenz,Topology,,,,,,,N/A,DISABLED
NO_TDA,lorenz,Koopman,,,,,,,N/A,DISABLED
NO_TDA,lorenz,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,lorenz,PINN,,,,,,,N/A,ERROR
NO_TDA,duffing,EV3,2.0219,2.0219,0.0,0.0,-20.913,16.589,Negligible,OK
NO_TDA,duffing,EV3_EXT,293.401874,293.401874,0.0,0.0,-4.329,4.149,Negligible,OK
NO_TDA,duffing,EV3_DEEP,347.591998,347.591998,0.0,0.0,-9.68,8.92,Negligible,OK
NO_TDA,duffing,EV3_SCI,892.953997,892.953997,0.0,0.0,-168.65,71.651,Negligible,OK
NO_TDA,duffing,SINDy,,,,,,,N/A,ERROR
NO_TDA,duffing,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,duffing,Topology,,,,,,,N/A,DISABLED
NO_TDA,duffing,Koopman,,,,,,,N/A,DISABLED
NO_TDA,duffing,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,duffing,PINN,,,,,,,N/A,ERROR
NO_TDA,van_der_pol,EV3,1.836094,1.836094,0.0,0.0,-1.902,1.632,Negligible,OK
NO_TDA,van_der_pol,EV3_EXT,299.065419,299.065419,0.0,0.0,-0.008,0.008,Negligible,OK
NO_TDA,van_der_pol,EV3_DEEP,363.008079,363.008079,0.0,0.0,-0.257,0.274,Negligible,OK
NO_TDA,van_der_pol,EV3_SCI,484.600708,484.600708,0.0,0.0,-0.145,0.155,Negligible,OK
NO_TDA,van_der_pol,SINDy,,,,,,,N/A,ERROR
NO_TDA,van_der_pol,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,van_der_pol,Topology,,,,,,,N/A,DISABLED
NO_TDA,van_der_pol,Koopman,,,,,,,N/A,DISABLED
NO_TDA,van_der_pol,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,van_der_pol,PINN,,,,,,,N/A,ERROR
NO_TDA,rossler,EV3,2.051632,2.051632,0.0,0.0,-6.313,6.275,Negligible,OK
NO_TDA,rossler,EV3_EXT,299.563169,299.563169,0.0,0.0,-0.007,0.007,Negligible,OK
NO_TDA,rossler,EV3_DEEP,364.427626,364.427626,0.0,0.0,-0.394,0.341,Negligible,OK
NO_TDA,rossler,EV3_SCI,489.124616,489.124616,0.0,0.0,-1.25,1.113,Negligible,OK
NO_TDA,rossler,SINDy,,,,,,,N/A,ERROR
NO_TDA,rossler,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,rossler,Topology,,,,,,,N/A,DISABLED
NO_TDA,rossler,Koopman,,,,,,,N/A,DISABLED
NO_TDA,rossler,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,rossler,PINN,,,,,,,N/A,ERROR
NO_TDA,logistic,EV3,2.634778,2.634778,0.0,0.0,-3.285,3.189,Negligible,OK
NO_TDA,logistic,EV3_EXT,49.706301,49.706301,0.0,0.0,-2.82,2.628,Negligible,OK
NO_TDA,logistic,EV3_DEEP,275.926527,275.926527,0.0,0.0,-58.41,38.267,Negligible,OK
NO_TDA,logistic,EV3_SCI,431.215663,431.215663,0.0,0.0,-23.818,19.586,Negligible,OK
NO_TDA,logistic,SINDy,,,,,,,N/A,ERROR
NO_TDA,logistic,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,logistic,Topology,,,,,,,N/A,DISABLED
NO_TDA,logistic,Koopman,,,,,,,N/A,DISABLED
NO_TDA,logistic,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,logistic,PINN,,,,,,,N/A,ERROR
NO_TDA,ECG200,EV3,1.512468,1.512468,0.0,0.0,-2.982,2.747,Negligible,OK
NO_TDA,ECG200,EV3_EXT,10.815622,10.815622,0.0,0.0,-9.96,9.517,Negligible,OK
NO_TDA,ECG200,EV3_DEEP,104.381042,104.381042,0.0,0.0,-3.026,2.841,Negligible,OK
NO_TDA,ECG200,EV3_SCI,337.576091,337.576091,0.0,0.0,-0.29,0.272,Negligible,OK
NO_TDA,ECG200,SINDy,,,,,,,N/A,ERROR
NO_TDA,ECG200,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,ECG200,Topology,,,,,,,N/A,DISABLED
NO_TDA,ECG200,Koopman,,,,,,,N/A,DISABLED
NO_TDA,ECG200,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,ECG200,PINN,,,,,,,N/A,ERROR
NO_TDA,ECG5000,EV3,1.512468,1.512468,0.0,0.0,-2.982,2.747,Negligible,OK
NO_TDA,ECG5000,EV3_EXT,10.815622,10.815622,0.0,0.0,-9.96,9.517,Negligible,OK
NO_TDA,ECG5000,EV3_DEEP,104.381042,104.381042,0.0,0.0,-3.026,2.841,Negligible,OK
NO_TDA,ECG5000,EV3_SCI,337.576091,337.576091,0.0,0.0,-0.29,0.272,Negligible,OK
NO_TDA,ECG5000,SINDy,,,,,,,N/A,ERROR
NO_TDA,ECG5000,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_TDA,ECG5000,Topology,,,,,,,N/A,DISABLED
NO_TDA,ECG5000,Koopman,,,,,,,N/A,DISABLED
NO_TDA,ECG5000,NeuralODE,,,,,,,N/A,ERROR
NO_TDA,ECG5000,PINN,,,,,,,N/A,ERROR
NO_KOOPMAN,lorenz,EV3,2.224899,2.224899,0.0,0.0,-6.454,6.57,Negligible,OK
NO_KOOPMAN,lorenz,EV3_EXT,220.274509,220.274509,0.0,0.0,-38.879,29.838,Negligible,OK
NO_KOOPMAN,lorenz,EV3_DEEP,321.240594,321.240594,0.0,0.0,-13.221,11.623,Negligible,OK
NO_KOOPMAN,lorenz,EV3_SCI,477.096576,477.096576,0.0,0.0,-4.356,3.734,Negligible,OK
NO_KOOPMAN,lorenz,SINDy,,,,,,,N/A,ERROR
NO_KOOPMAN,lorenz,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_KOOPMAN,lorenz,Topology,,,,,,,N/A,ERROR
NO_KOOPMAN,lorenz,Koopman,,,,,,,N/A,DISABLED
NO_KOOPMAN,lorenz,NeuralODE,,,,,,,N/A,ERROR
NO_KOOPMAN,lorenz,PINN,,,,,,,N/A,ERROR
