domain,model_complexity,dataset_size,method,historical_metrics,compute_cost,novelty_score,epistemic_gain
physics,1.0,100.0,PhysicsSanityEngine,0.75,1.0,0.5,0.1
physics,1.0,100.0,BiasDetector,26.8,1.0,0.5,0.1
physics,1.0,100.0,DomainAdaptation,0.0,1.0,0.5,0.1
physics,1.0,100.0,ExpertValidation,1.0,1.0,0.5,0.1
physics,1.0,100.0,RealDataIngestor,1.3333333333333333,1.0,0.5,0.1
distributed_execution,1.0,100.0,DistributedExecution,1.478478664920788,1.0,0.5,0.1
physics,1.0,100.0,DistributedExecution,1.478478664920788,1.0,0.5,0.1
physics,1.0,100.0,ScientificMemoryAdvanced,0.0,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,0.041742678169410886,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,0.37218337789816885,1.0,0.5,0.1
lorenz,1.0,100.0,MultiAgentSystem,1.0963163361901007,1.0,0.5,0.1
physics,1.0,100.0,MultiAgentSystem,1.0963163361901007,1.0,0.5,0.1
lorenz,1.0,100.0,MetaLearningEngine,2.188395330783757,1.0,0.5,0.1
physics,1.0,100.0,MetaLearningEngine,2.188395330783757,1.0,0.5,0.1
