domain,model_complexity,dataset_size,method,historical_metrics,compute_cost,novelty_score,epistemic_gain
physics,1.0,100.0,BiasDetector,26.8,1.0,0.5,13.4
physics,1.0,100.0,DomainAdaptation,0.0,1.0,0.5,0.0
physics,1.0,100.0,PhysicsSanityEngine,0.75,1.0,0.5,0.375
physics,1.0,100.0,ExpertValidation,1.0,1.0,0.5,0.5
physics,1.0,100.0,RealDataIngestor,1.3333333333333333,1.0,0.5,0.6666666666666666
distributed_execution,1.0,100.0,DistributedExecution,1.478478664920788,1.0,0.5,0.739239332460394
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.275
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,5.0
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.285
lorenz,1.0,100.0,MultiAgentSystem,0.3721833778981688,1.0,0.5,0.1860916889490844
lorenz,1.0,100.0,MultiAgentSystem,1.0963163361901007,1.0,0.5,0.5481581680950504
lorenz,1.0,8.0,MetaLearningEngine,2.188395330783757,1.0,0.5,1.0941976653918786
lorenz,1.0,50.0,MetaLearningEngine,9.780391779573234,1.0,0.5,4.890195889786617
physics,1.0,50.0,MetaLearningEngine,9.780391779573234,1.0,0.5,4.890195889786617
distributed_execution,1.0,100.0,DistributedExecution,17.976253912245127,1.0,0.5,8.988126956122564
physics,1.0,100.0,DistributedExecution,17.976253912245127,1.0,0.5,8.988126956122564
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.285
lorenz,1.0,100.0,MultiAgentSystem,0.3721833778981688,1.0,0.5,0.1860916889490844
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.275
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,5.0
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.285
lorenz,1.0,100.0,MultiAgentSystem,0.3721833778981688,1.0,0.5,0.1860916889490844
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.275
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,5.0
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.285
lorenz,1.0,100.0,MultiAgentSystem,0.3721833778981688,1.0,0.5,0.1860916889490844
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.275
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,5.0
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
lorenz,1.0,100.0,MultiAgentSystem,0.5700000000000001,1.0,0.5,0.285
lorenz,1.0,100.0,MultiAgentSystem,0.3721833778981688,1.0,0.5,0.1860916889490844
lorenz,1.0,100.0,MultiAgentSystem,0.55,1.0,0.5,0.275
lorenz,1.0,100.0,MultiAgentSystem,10.0,1.0,0.5,5.0
lorenz,1.0,100.0,MultiAgentSystem,0.7087133908470544,1.0,0.5,0.3543566954235272
lorenz,1.0,100.0,MultiAgentSystem,0.0417426781694108,1.0,0.5,0.0208713390847054
