module,system,n_seeds,mean,ci_lower,ci_upper,rel_width,cv,converged,stable
EV3,lorenz,4,3.150346203127063,nan,nan,inf,0.3594318510455224,False,False
EV3,duffing,50,2.072150981140549,1.929896586640591,2.321083272736885,0.1887829070645121,0.31397344449964626,False,False
EV3,van_der_pol,20,1.8409182939318618,1.8265956715894967,1.862327566821916,0.01940982136480513,0.022563536973689527,True,True
EV3,rossler,40,2.076866890751521,2.0314794229255844,2.126287422980172,0.045649531261139645,0.07546569046291733,True,False
EV3,logistic,20,2.536208628006922,2.5111466457004274,2.5631657695726995,0.020510585484898074,0.02363721424035646,True,True
EV3,ECG200,20,1.5377540698791363,1.5105380076689454,1.5601796906208256,0.03228193891613756,0.03726134694095056,True,True
EV3,ECG5000,20,1.5377540698791363,1.5127558735850541,1.5603771704814857,0.030968083797804215,0.03726134694095056,True,True
EV3_EXT,lorenz,50,232.2864177640449,218.4022948513935,241.85972763267424,0.10098495214261154,0.17486242615712466,False,False
EV3_EXT,duffing,50,285.02651411147264,273.4847813411286,291.64601019839307,0.06371768224398129,0.10785476422440603,False,False
EV3_EXT,van_der_pol,20,299.06720951590694,299.05707324521467,299.07712227324777,6.703853647329807e-05,7.917211768587407e-05,True,True
EV3_EXT,rossler,20,299.54395065385347,299.5068141571459,299.5628803758207,0.00018717192770015026,0.0002045496643737193,True,True
EV3_EXT,logistic,20,51.28864494052893,50.6892071606182,51.99413509781724,0.025442823430257347,0.02979932277734399,True,True
EV3_EXT,ECG200,50,10.470029177980816,10.237078306582639,10.762922684678372,0.05022377389373662,0.09026049541710106,False,False
EV3_EXT,ECG5000,50,10.470029177980816,10.249188206441888,10.75399961506079,0.04821489988591007,0.09026049541710106,True,False
EV3_DEEP,lorenz,30,330.9725667406105,321.52682126343086,338.0159698706598,0.04982028803659662,0.07110099299464752,True,False
EV3_DEEP,duffing,50,333.11668433541337,318.0826703993967,343.960722533479,0.07768464730522417,0.13923276726525416,False,False
EV3_DEEP,van_der_pol,20,363.38218052433064,362.91177019806327,363.8398921373679,0.0025541206725255856,0.0030620356447298262,True,True
EV3_DEEP,rossler,20,364.95164620591976,364.33682950990146,365.6344595705091,0.0035556218860715695,0.004053996868788687,True,True
EV3_DEEP,logistic,50,229.01708211087112,217.74589867641254,256.0951623352093,0.16745154250210567,0.2624828192765083,False,False
EV3_DEEP,ECG200,20,104.93218068213623,103.94349487085003,105.87337291835108,0.018391670076380994,0.021478446311634695,True,True
EV3_DEEP,ECG5000,20,104.93218068213623,103.94349487085003,105.87337291835108,0.018391670076380994,0.021478446311634695,True,True
EV3_SCI,lorenz,50,506.9472408360452,494.2188027605628,522.260832405481,0.05531547937547095,0.10130318661105006,False,False
EV3_SCI,duffing,50,1179.1353386831595,930.4518399600319,1433.0291327140048,0.42622528243046615,0.7996545166331648,False,False
EV3_SCI,van_der_pol,20,484.8913584082294,484.5367544630515,485.23827212338387,0.0014467522428843447,0.0017317430338294746,True,True
EV3_SCI,rossler,20,488.842987250698,487.8554644156005,490.3968881936287,0.005198854937699697,0.0058829638460818805,True,True
EV3_SCI,logistic,50,396.5134531046835,388.6368203758411,416.089294422372,0.06923465983708542,0.10858781408406813,False,False
EV3_SCI,ECG200,20,337.74939927531693,337.44033082791316,338.03881604636155,0.0017719801122741074,0.0020746548002148917,True,True
EV3_SCI,ECG5000,20,337.74939927531693,337.44033082791316,338.03881604636155,0.0017719801122741074,0.0020746548002148917,True,True
SINDy,lorenz,50,nan,nan,nan,inf,nan,False,False
SINDy,duffing,50,nan,nan,nan,inf,nan,False,False
SINDy,van_der_pol,50,nan,nan,nan,inf,nan,False,False
SINDy,rossler,50,nan,nan,nan,inf,nan,False,False
SINDy,logistic,50,nan,nan,nan,inf,nan,False,False
SINDy,ECG200,50,nan,nan,nan,inf,nan,False,False
SINDy,ECG5000,50,nan,nan,nan,inf,nan,False,False
Topology,lorenz,50,nan,nan,nan,inf,nan,False,False
Topology,duffing,50,nan,nan,nan,inf,nan,False,False
Topology,van_der_pol,50,nan,nan,nan,inf,nan,False,False
Topology,rossler,50,nan,nan,nan,inf,nan,False,False
Topology,logistic,50,nan,nan,nan,inf,nan,False,False
Topology,ECG200,50,nan,nan,nan,inf,nan,False,False
Topology,ECG5000,50,nan,nan,nan,inf,nan,False,False
Koopman,lorenz,50,nan,nan,nan,inf,nan,False,False
Koopman,duffing,50,nan,nan,nan,inf,nan,False,False
Koopman,van_der_pol,50,nan,nan,nan,inf,nan,False,False
Koopman,rossler,50,nan,nan,nan,inf,nan,False,False
Koopman,logistic,50,nan,nan,nan,inf,nan,False,False
Koopman,ECG200,50,nan,nan,nan,inf,nan,False,False
Koopman,ECG5000,50,nan,nan,nan,inf,nan,False,False
NeuralODE,lorenz,50,nan,nan,nan,inf,nan,False,False
NeuralODE,duffing,50,nan,nan,nan,inf,nan,False,False
NeuralODE,van_der_pol,50,nan,nan,nan,inf,nan,False,False
NeuralODE,rossler,50,nan,nan,nan,inf,nan,False,False
NeuralODE,logistic,50,nan,nan,nan,inf,nan,False,False
NeuralODE,ECG200,50,nan,nan,nan,inf,nan,False,False
NeuralODE,ECG5000,50,nan,nan,nan,inf,nan,False,False
PINN,lorenz,50,nan,nan,nan,inf,nan,False,False
PINN,duffing,50,nan,nan,nan,inf,nan,False,False
PINN,van_der_pol,50,nan,nan,nan,inf,nan,False,False
PINN,rossler,50,nan,nan,nan,inf,nan,False,False
PINN,logistic,50,nan,nan,nan,inf,nan,False,False
PINN,ECG200,50,nan,nan,nan,inf,nan,False,False
PINN,ECG5000,50,nan,nan,nan,inf,nan,False,False
