test,system,module,val_0pct,val_10pct,val_30pct,val_50pct,baseline,MDT
missing_data,lorenz,EV3,2.067328372661984,2.067363567016927,2.0665771251961798,2.059196263955487,2.067328,0.5
missing_data,lorenz,EV3_DEEP,345.8574861569345,345.9263171639936,345.8493474019924,345.41756050210984,345.857486,0.5
missing_data,lorenz,SINDy,,,,,,0.0
missing_data,lorenz,Topology,,,,,,0.0
missing_data,lorenz,Koopman,,,,,,0.0
missing_data,duffing,EV3,2.127402478713828,2.127390607346462,2.1371272495854865,2.136971917806935,2.127402,0.5
missing_data,duffing,EV3_DEEP,316.1304829487603,316.0411349560998,315.7038539084793,315.44825720107036,316.130483,0.5
missing_data,duffing,SINDy,,,,,,0.0
missing_data,duffing,Topology,,,,,,0.0
missing_data,duffing,Koopman,,,,,,0.0
missing_data,van_der_pol,EV3,1.8181890674940762,1.8182309436031643,1.8182092799673406,1.818258862749385,1.818189,0.5
missing_data,van_der_pol,EV3_DEEP,362.83791435936956,362.83346534820953,362.8395824270569,362.8487352836091,362.837914,0.5
missing_data,van_der_pol,SINDy,,,,,,0.0
missing_data,van_der_pol,Topology,,,,,,0.0
missing_data,van_der_pol,Koopman,,,,,,0.0
missing_data,rossler,EV3,1.990243160965541,1.9902468759802083,1.9902514696449076,1.9903181887935715,1.990243,0.5
missing_data,rossler,EV3_DEEP,363.59763919218864,363.5879698193356,363.58860052289384,363.593780205993,363.597639,0.5
missing_data,rossler,SINDy,,,,,,0.0
missing_data,rossler,Topology,,,,,,0.0
missing_data,rossler,Koopman,,,,,,0.0
missing_data,logistic,EV3,2.477079558719481,2.856095658888219,2.5393436085890286,2.3288084325725924,2.47708,0.5
missing_data,logistic,EV3_DEEP,208.60558303432927,225.3534112193786,232.23329154848773,207.20788775975097,208.605583,0.5
missing_data,logistic,SINDy,,,,,,0.0
missing_data,logistic,Topology,,,,,,0.0
missing_data,logistic,Koopman,,,,,,0.0
