test,system,module,val_clean,val_20dB,val_10dB,val_5dB,val_0dB,baseline,slope,NRS
noise,lorenz,EV3,2.067328372661984,2.103180069535681,2.2253300467538653,2.258011440972403,2.2803274967821836,2.067328,0.028096,-0.028096
noise,lorenz,EV3_DEEP,345.8574861569345,297.5453745810986,458.0578663217415,638.162528734441,956.9642670027993,345.857486,0.451871,-0.451871
noise,lorenz,SINDy,,,,,,,,
noise,lorenz,Topology,,,,,,,,
noise,lorenz,Koopman,,,,,,,,
noise,duffing,EV3,2.127402478713828,13.4521582269987,5.174605602494285,3.5654603173595216,2.585583662161465,2.127402,-0.421657,0.421657
noise,duffing,EV3_DEEP,316.1304829487603,610.4323193948501,1611.3861182771423,2725.961307518754,4523.868728528871,316.130483,3.331221,-3.331221
noise,duffing,SINDy,,,,,,,,
noise,duffing,Topology,,,,,,,,
noise,duffing,Koopman,,,,,,,,
noise,van_der_pol,EV3,1.8181890674940762,2.0640186360441115,2.1555693341024695,2.2204247679811866,2.329470914781978,1.818189,0.064843,-0.064843
noise,van_der_pol,EV3_DEEP,362.83791435936956,213.905654229959,230.331410045442,246.65816828680303,286.77925794083,362.837914,-0.032898,0.032898
noise,van_der_pol,SINDy,,,,,,,,
noise,van_der_pol,Topology,,,,,,,,
noise,van_der_pol,Koopman,,,,,,,,
noise,rossler,EV3,1.990243160965541,2.1983399164224138,2.321887203812683,2.3610443875284597,2.399535835161925,1.990243,0.049305,-0.049305
noise,rossler,EV3_DEEP,363.59763919218864,241.15590719342757,325.9369069301383,424.604618692278,591.4654226477788,363.597639,0.175794,-0.175794
noise,rossler,SINDy,,,,,,,,
noise,rossler,Topology,,,,,,,,
noise,rossler,Koopman,,,,,,,,
noise,logistic,EV3,2.477079558719481,2.652779051986168,2.571495140917461,2.564657832086168,2.5968947776752684,2.47708,0.006116,-0.006116
noise,logistic,EV3_DEEP,208.60558303432927,209.45992848389568,224.5255992731578,231.32570774148982,233.8909959271198,208.605583,0.034724,-0.034724
noise,logistic,SINDy,,,,,,,,
noise,logistic,Topology,,,,,,,,
noise,logistic,Koopman,,,,,,,,
