r,f_r
0.0,0.9680284
0.0050251256,0.9653283
0.010050251,0.96261454
0.015075376,0.95988685
0.020100502,0.95714515
0.025125628,0.9543894
0.030150753,0.95161957
0.03517588,0.9488354
0.040201005,0.94603693
0.04522613,0.943224
0.050251257,0.9403965
0.055276383,0.9375544
0.060301505,0.9346976
0.06532663,0.93182606
0.07035176,0.9289396
0.07537688,0.926038
0.08040201,0.9231214
0.085427135,0.9201897
0.09045226,0.9172427
0.09547739,0.91428024
0.10050251,0.9113023
0.10552764,0.908309
0.110552765,0.90529996
0.11557789,0.9022752
0.12060301,0.89923453
0.12562814,0.89617807
0.13065326,0.8931056
0.1356784,0.890017
0.14070351,0.8869121
0.14572865,0.8837909
0.15075377,0.8806534
0.1557789,0.87749934
0.16080402,0.87432873
0.16582914,0.87114143
0.17085427,0.8679375
0.17587939,0.86471665
0.18090452,0.8614787
0.18592964,0.85822386
0.19095477,0.8549519
0.1959799,0.8516627
0.20100503,0.8483563
0.20603015,0.8450323
0.21105528,0.8416909
0.2160804,0.8383319
0.22110553,0.83495516
0.22613065,0.8315607
0.23115578,0.8281485
0.2361809,0.82471824
0.24120602,0.8212699
0.24623115,0.8178036
0.2512563,0.814319
0.2562814,0.810816
0.26130652,0.80729467
0.26633164,0.803755
0.2713568,0.80019665
0.2763819,0.7966195
0.28140703,0.7930239
0.28643215,0.78940946
0.2914573,0.7857759
0.2964824,0.78212357
0.30150753,0.7784521
0.30653265,0.7747614
0.3115578,0.7710516
0.31658292,0.76732254
0.32160804,0.7635739
0.32663316,0.7598058
0.33165827,0.75601834
0.33668342,0.7522111
0.34170854,0.7483842
0.34673366,0.74453765
0.35175878,0.74067104
0.35678393,0.73678464
0.36180905,0.73287827
0.36683416,0.72895175
0.37185928,0.7250051
0.37688443,0.7210384
0.38190955,0.7170512
0.38693467,0.71304375
0.3919598,0.7090159
0.39698493,0.7049676
0.40201005,0.7008987
0.40703517,0.69680923
0.4120603,0.692699
0.4170854,0.6885683
0.42211056,0.68441665
0.42713568,0.68024415
0.4321608,0.67605084
0.4371859,0.6718367
0.44221106,0.6676013
0.44723618,0.6633451
0.4522613,0.6590676
0.45728642,0.65476906
0.46231157,0.65044934
0.46733668,0.64610827
0.4723618,0.64174604
0.47738692,0.6373625
0.48241204,0.63295764
0.4874372,0.6285311
0.4924623,0.62408334
0.49748743,0.6196142
0.5025126,0.6151234
0.5075377,0.6106112
0.5125628,0.60607743
0.51758796,0.601522
0.52261305,0.596945
0.5276382,0.5923463
0.53266335,0.5877262
0.53768843,0.58308417
0.5427136,0.5784205
0.5477387,0.57373524
0.5527638,0.5690282
0.55778897,0.56429946
0.5628141,0.559549
0.5678392,0.5547769
0.5728643,0.5499831
0.57788944,0.54516745
0.5829146,0.54033
0.58793974,0.53547096
0.5929648,0.5305902
0.5979899,0.52568775
0.60301507,0.5207637
0.6080402,0.5158178
0.61306536,0.5108503
0.61809045,0.5058613
0.62311554,0.5008507
0.6281407,0.49581844
0.63316584,0.49076453
0.638191,0.48568928
0.6432161,0.48059246
0.6482412,0.4754743
0.6532663,0.4703347
0.65829146,0.46517375
0.6633166,0.4599914
0.66834176,0.4547878
0.67336684,0.44956315
0.67839193,0.44431725
0.6834171,0.43905023
0.68844223,0.43376225
0.6934674,0.4284533
0.69849247,0.4231235
0.70351756,0.41777286
0.7085427,0.41240153
0.71356785,0.40700942
0.718593,0.40159672
0.7236181,0.3961636
0.7286432,0.39071018
0.7336683,0.38523626
0.7386935,0.3797422
0.7437186,0.37422794
0.7487437,0.36869377
0.75376886,0.3631396
0.75879395,0.35756564
0.7638191,0.35197207
0.76884425,0.34635878
0.77386934,0.34072614
0.7788945,0.33507407
0.7839196,0.32940292
0.7889447,0.3237126
0.79396987,0.3180033
0.79899496,0.3122753
0.8040201,0.3065285
0.8090452,0.3007633
0.81407034,0.2949795
0.8190955,0.28917757
0.82412064,0.2833576
0.8291457,0.27751973
0.8341709,0.271664
0.83919597,0.26579088
0.8442211,0.25990006
0.84924626,0.25399208
0.85427135,0.24806714
0.8592965,0.24212506
0.8643216,0.23616654
0.86934674,0.2301912
0.8743719,0.22419965
0.879397,0.21819195
0.8844221,0.21216819
0.8894472,0.2061288
0.89447236,0.20007372
0.8994975,0.19400322
0.9045226,0.18791774
0.90954775,0.18181726
0.91457283,0.17570207
0.919598,0.1695723
0.92462313,0.16342828
0.9296482,0.15727022
0.93467337,0.15109828
0.9396985,0.14491272
0.9447236,0.1387139
0.94974875,0.13250181
0.95477384,0.12627697
0.959799,0.12003938
0.96482414,0.1137894
0.9698492,0.10752734
0.9748744,0.101253234
0.9798995,0.09496756
0.9849246,0.088670515
0.98994976,0.08236228
0.99497485,0.076043226
1.0,0.06971348
