artifact_path,artifact_type,size_bytes,last_modified
.env.example,unknown,590,2026-05-28 20:21:02
ARCHITECTURE.md,Markdown Document,4129,2026-05-28 20:21:21
astos_cfs_architecture.md,Markdown Document,3766,2026-05-29 14:20:18
cad_simulation_results.csv,CSV Dataset,3187,2026-05-29 13:40:23
cad_thermal_network.json,JSON Config,18327945,2026-05-29 14:14:49
cfs_integration_report.md,Markdown Document,2954,2026-05-29 14:20:22
config.py,Python Script,482,2026-05-28 20:20:57
DEPENDENCY_GRAPH.md,Markdown Document,7826,2026-05-28 20:29:42
docker-compose.yml,unknown,759,2026-05-28 20:21:08
Dockerfile.backend,unknown,504,2026-05-28 20:21:05
geometry_optimal_design.json,JSON Config,532,2026-05-28 19:15:54
geometry_pareto_front.csv,CSV Dataset,4247,2026-05-28 19:15:54
hil_results.csv,CSV Dataset,31682,2026-05-28 19:11:03
LICENSE,unknown,620,2026-05-28 20:21:11
memory_budget.md,Markdown Document,4233,2026-05-29 14:20:32
MIGRATION_REPORT.md,Markdown Document,4107,2026-05-28 20:21:28
optimization_results.csv,CSV Dataset,273,2026-05-29 14:21:08
pyproject.toml,unknown,376,2026-05-28 20:21:00
README.md,Markdown Document,4373,2026-05-29 14:14:12
requirements.txt,unknown,315,2026-05-28 20:20:58
ROADMAP.md,Markdown Document,2793,2026-05-28 20:21:25
run_hostile_audit.py,Python Script,19712,2026-05-29 22:37:40
timing_analysis.md,Markdown Document,3283,2026-05-29 14:20:26
VALIDATION_REPORT.md,Markdown Document,2883,2026-05-29 14:14:15
astos_cfs_app/astos_app.c,C Source,30650,2026-05-29 21:37:17
astos_cfs_app/astos_app.h,C Header,3418,2026-05-29 21:34:10
astos_cfs_app/astos_msg.h,C Header,3170,2026-05-29 14:19:46
astos_cfs_app/astos_tbldefs.h,C Header,1330,2026-05-29 14:19:50
astos_cfs_app/check_misra.py,Python Script,5468,2026-05-29 21:33:39
astos_cfs_app/fault_injection.py,Python Script,7808,2026-05-29 21:33:58
astos_cfs_app/fault_injection_report.md,Markdown Document,1442,2026-05-29 21:36:52
astos_cfs_app/Makefile,unknown,678,2026-05-29 21:34:30
astos_cfs_app/misra_report.txt,unknown,2679,2026-05-29 21:36:50
astos_cfs_app/mpc_benchmark.md,Markdown Document,2942,2026-05-29 21:34:35
astos_cfs_app/mpc_benchmark.py,Python Script,10796,2026-05-29 21:38:11
astos_cfs_app/mpc_controller.c,C Source,4745,2026-05-29 21:33:32
astos_cfs_app/mpc_controller.h,C Header,1062,2026-05-29 21:33:26
astos_cfs_app/integration_tests/README.md,Markdown Document,1207,2026-05-29 21:36:01
astos_cfs_app/integration_tests/test_cfs_integration.py,Python Script,3337,2026-05-29 21:35:58
astos_cfs_app/unit_tests/Makefile,unknown,691,2026-05-29 21:35:54
astos_cfs_app/unit_tests/run_tests.py,Python Script,11502,2026-05-29 21:37:21
astos_cfs_app/unit_tests/test_astos_app.c,C Source,7233,2026-05-29 21:35:39
astos_cfs_app/updates/model_weights.bin,Binary Table,72,2026-05-29 21:36:55
backend/thermal_api.py,Python Script,30342,2026-05-28 15:43:04
benchmarks/cad_benchmark_output.csv,CSV Dataset,177,2026-05-29 14:14:55
benchmarks/deterministic_execution.md,Markdown Document,2149,2026-05-29 14:13:11
benchmarks/pinn_benchmark_output.csv,CSV Dataset,115,2026-05-29 14:15:00
benchmarks/run_cad_benchmark.py,Python Script,2406,2026-05-29 14:13:00
benchmarks/run_pinn_benchmark.py,Python Script,1856,2026-05-29 14:13:04
benchmarks/run_tvac_benchmark.py,Python Script,1623,2026-05-29 14:13:07
benchmarks/tvac_benchmark_output.csv,CSV Dataset,321,2026-05-29 14:15:03
dashboard/.gitignore,unknown,597,2026-05-20 14:46:47
dashboard/AGENTS.md,Markdown Document,327,2026-05-18 16:42:15
dashboard/CLAUDE.md,Markdown Document,11,2026-05-18 16:42:15
dashboard/Dockerfile,unknown,684,2026-05-29 12:46:06
dashboard/next-env.d.ts,unknown,247,2026-05-28 14:50:35
dashboard/next-start-observability-3051.err.log,unknown,0,2026-05-20 22:42:55
dashboard/next-start-observability-3051.out.log,unknown,167,2026-05-20 22:42:56
dashboard/next-start-observability-3052.err.log,unknown,0,2026-05-20 22:43:30
dashboard/next-start-observability-3052.out.log,unknown,167,2026-05-20 22:43:30
dashboard/next-start-observability.err.log,unknown,286,2026-05-20 22:42:27
dashboard/next-start-observability.out.log,unknown,47,2026-05-20 22:42:26
dashboard/next.config.ts,unknown,171,2026-05-18 22:18:54
dashboard/package-lock.json,JSON Config,197179,2026-05-28 20:06:24
dashboard/package.json,JSON Config,1034,2026-05-21 09:36:51
dashboard/playwright.config.ts,unknown,685,2026-05-20 14:50:25
dashboard/postcss.config.mjs,unknown,94,2026-05-18 16:41:48
dashboard/README.md,Markdown Document,6576,2026-05-20 16:13:40
dashboard/tsconfig.json,JSON Config,741,2026-05-26 15:50:04
dashboard/e2e/scientificQA.spec.ts,unknown,6025,2026-05-20 16:12:26
dashboard/public/demo_data.json,JSON Config,27097,2026-05-29 14:15:09
dashboard/public/file.svg,unknown,391,2026-05-18 16:41:48
dashboard/public/globe.svg,unknown,1035,2026-05-18 16:41:48
dashboard/public/next.svg,unknown,1375,2026-05-18 16:41:48
dashboard/public/vercel.svg,unknown,128,2026-05-18 16:41:48
dashboard/public/window.svg,unknown,385,2026-05-18 16:41:48
dashboard/public/artifacts/baselines/baseline_index.json,JSON Config,182,2026-05-21 09:29:11
dashboard/public/artifacts/baselines/massive_sweep_2026-05-20T23-02-23Z.json,JSON Config,10840,2026-05-20 23:02:23
dashboard/public/artifacts/benchmarks/benchmark_results.json,JSON Config,243,2026-05-20 14:46:17
dashboard/public/artifacts/discoveries/adversarial_audit_report.json,JSON Config,34831,2026-05-21 17:10:55
