day,actual_emissivity,measured_temp,pred_static,pred_evolving,error_static,error_evolving
0.00,0.8500,53.025,53.784,50.449,-0.7596,+2.5757
0.10,0.8493,53.030,53.810,56.866,-0.7795,-3.8356
0.20,0.8487,53.285,53.848,47.563,-0.5626,+5.7222
0.30,0.8480,53.226,53.890,61.043,-0.6638,-7.8172
0.40,0.8473,53.222,53.945,43.088,-0.7226,+10.1347
0.50,0.8467,53.457,53.997,65.781,-0.5406,-12.3247
0.60,0.8460,53.363,54.036,38.802,-0.6724,+14.5610
0.70,0.8453,53.734,54.067,69.917,-0.3328,-16.1830
0.80,0.8447,53.608,54.097,36.049,-0.4892,+17.5588
0.90,0.8440,53.838,54.127,72.051,-0.2888,-18.2125
1.00,0.8433,53.950,54.149,35.307,-0.1985,+18.6439
1.10,0.8427,54.075,54.139,72.338,-0.0642,-18.2630
1.20,0.8420,54.191,54.122,36.448,+0.0690,+17.7431
1.30,0.8413,53.993,54.095,70.944,-0.1012,-16.9501
1.40,0.8407,54.268,54.067,38.069,+0.2008,+16.1994
1.50,0.8400,54.347,54.040,69.486,+0.3069,-15.1387
1.60,0.8393,54.317,54.012,40.040,+0.3043,+14.2771
1.70,0.8387,54.294,53.988,67.515,+0.3062,-13.2208
1.80,0.8380,54.346,53.970,42.206,+0.3765,+12.1399
1.90,0.8373,54.425,53.951,65.342,+0.4743,-10.9171
2.00,0.8367,54.637,53.932,44.407,+0.7043,+10.2294
2.10,0.8360,54.652,53.914,64.116,+0.7380,-9.4645
2.20,0.8353,54.825,53.895,45.664,+0.9297,+9.1607
2.30,0.8347,54.632,53.877,63.682,+0.7551,-9.0505
2.40,0.8340,54.827,53.858,45.658,+0.9689,+9.1688
2.50,0.8333,55.031,53.840,64.126,+1.1915,-9.0947
2.60,0.8327,55.037,53.821,45.410,+1.2158,+9.6267
2.70,0.8320,55.254,53.802,65.780,+1.4518,-10.5255
2.80,0.8313,55.284,53.784,42.874,+1.5003,+12.4101
2.90,0.8307,55.451,53.765,70.755,+1.6862,-15.3035
3.00,0.8300,55.346,53.747,35.317,+1.5998,+20.0293
3.10,0.8293,55.494,53.729,83.383,+1.7657,-27.8891
3.20,0.8287,55.702,53.713,14.167,+1.9887,+41.5348
3.30,0.8280,55.618,53.693,120.860,+1.9250,-65.2421
3.40,0.8273,55.540,53.673,-52.225,+1.8677,+107.7649
3.50,0.8267,55.887,53.652,243.396,+2.2345,-187.5093
3.60,0.8260,55.759,53.632,-287.435,+2.1271,+343.1940
3.70,0.8253,56.027,53.613,712.868,+2.4146,-656.8402
3.80,0.8247,55.929,53.594,-1258.462,+2.3342,+1314.3906
3.90,0.8240,56.002,53.576,2806.075,+2.4261,-2750.0728
4.00,0.8233,56.028,53.558,-5963.418,+2.4704,+6019.4461
4.10,0.8227,56.368,53.539,13839.798,+2.8282,-13783.4303
4.20,0.8220,56.360,53.521,-32943.035,+2.8391,+32999.3953
4.30,0.8213,56.344,53.503,82726.383,+2.8416,-82670.0386
4.40,0.8207,56.542,53.484,-216941.922,+3.0578,+216998.4639
4.50,0.8200,56.698,53.466,596265.438,+3.2318,-596208.7397
4.60,0.8193,56.782,53.448,-1712943.875,+3.3342,+1713000.6568
4.70,0.8187,56.725,53.429,5142077.500,+3.2957,-5142020.7751
4.80,0.8180,56.702,53.411,-16111667.000,+3.2911,+16111723.7017
4.90,0.8173,56.972,53.384,52651585.000,+3.5879,-52651528.0277
5.00,0.8167,56.991,53.358,-179301211.000,+3.6323,+179301267.9906
5.10,0.8160,57.063,53.332,635791413.000,+3.7312,-635791355.9367
5.20,0.8153,57.185,53.306,-2345700811.000,+3.8791,+2345700868.1850
5.30,0.8147,57.166,53.280,8997809205.000,+3.8858,-8997809147.8345
5.40,0.8140,57.298,53.254,-35858956235.000,+4.0445,+35858956292.2980
5.50,0.8133,57.316,53.227,148373536821.000,+4.0888,-148373536763.6839
5.60,0.8127,57.413,53.201,-636977938379.000,+4.2114,+636977938436.4125
5.70,0.8120,57.501,53.175,2835462750261.000,+4.3257,-2835462750203.4995
5.80,0.8113,57.440,53.149,-13079545905099.000,+4.2917,+13079545905156.4414
5.90,0.8107,57.584,53.123,62485210071093.000,+4.4616,-62485210071035.4141
6.00,0.8100,57.744,53.096,-308967297253323.000,+4.6471,+308967297253380.7500
6.10,0.8093,58.054,53.070,1580266778787893.000,+4.9840,-1580266778787835.0000
6.20,0.8087,57.938,53.044,-8355477696020427.000,+4.8942,+8355477696020485.0000
6.30,0.8080,58.105,53.018,45644142167982128.000,+5.0873,-45644142167982072.0000
6.40,0.8073,57.998,52.986,-257472208379576256.000,+5.0129,+257472208379576320.0000
6.50,0.8067,58.175,52.948,1498906340347609088.000,+5.2278,-1498906340347609088.0000
6.60,0.8060,58.400,52.910,-9001041989625446400.000,+5.4907,+9001041989625446400.0000
6.70,0.8053,58.335,52.872,55727308692617428992.000,+5.4630,-55727308692617428992.0000
6.80,0.8047,58.523,52.834,-355541633579228332032.000,+5.6889,+355541633579228332032.0000
6.90,0.8040,58.424,52.796,2336451583343629172736.000,+5.6279,-2336451583343629172736.0000
7.00,0.8033,58.581,52.758,-15807765296459634704384.000,+5.8237,+15807765296459634704384.0000
7.10,0.8027,58.610,52.720,110062939868551522025472.000,+5.8898,-110062939868551522025472.0000
7.20,0.8020,58.769,52.685,-788286732114463331188736.000,+6.0838,+788286732114463331188736.0000
7.30,0.8013,58.912,52.659,5805249158993130842750976.000,+6.2524,-5805249158993130842750976.0000
7.40,0.8007,58.917,52.639,-43941753861996583107690496.000,+6.2781,+43941753861996583107690496.0000
7.50,0.8000,58.982,52.618,341731726243108588485607424.000,+6.3639,-341731726243108588485607424.0000
7.60,0.7993,58.893,52.597,-2729487391835645362179145728.000,+6.2960,+2729487391835645362179145728.0000
7.70,0.7987,59.147,52.577,22378447097535573566389485568.000,+6.5698,-22378447097535573566389485568.0000
7.80,0.7980,59.274,52.556,-188166734855650349956020043776.000,+6.7178,+188166734855650349956020043776.0000
7.90,0.7973,59.236,52.536,1621436092246442749014004727808.000,+6.7003,-1621436092246442749014004727808.0000
8.00,0.7967,59.429,52.515,-14314064933722027265969505697792.000,+6.9139,+14314064933722027265969505697792.0000
8.10,0.7960,59.297,52.494,129419048724545884786519680483328.000,+6.8031,-129419048724545884786519680483328.0000
8.20,0.7953,59.563,52.474,-1198049974770739921637316925325312.000,+7.0893,+1198049974770739921637316925325312.0000
8.30,0.7947,59.552,52.454,11351832170024462141867650489253888.000,+7.0976,-11351832170024462141867650489253888.0000
8.40,0.7940,59.770,52.434,-110064565549961474711369390439268352.000,+7.3364,+110064565549961474711369390439268352.0000
8.50,0.7933,59.748,52.414,1091688575007686478125308988245409792.000,+7.3347,-1091688575007686478125308988245409792.0000
8.60,0.7927,59.969,52.394,-11073937042871365492677293874710839296.000,+7.5752,+11073937042871365492677293874710839296.0000
8.70,0.7920,60.003,52.374,114853069026935890373828344200189444096.000,+7.6291,-114853069026935890373828344200189444096.0000
8.80,0.7913,60.007,52.348,-inf,+7.6588,+inf
8.90,0.7907,60.180,52.318,nan,+7.8622,+nan
9.00,0.7900,60.021,52.287,nan,+7.7337,+nan
9.10,0.7893,60.206,52.257,nan,+7.9485,+nan
9.20,0.7887,60.402,52.234,nan,+8.1684,+nan
9.30,0.7880,60.313,52.213,nan,+8.0996,+nan
9.40,0.7873,60.385,52.193,nan,+8.1917,+nan
9.50,0.7867,60.507,52.173,nan,+8.3344,+nan
9.60,0.7860,60.653,52.152,nan,+8.5012,+nan
9.70,0.7853,60.953,52.132,nan,+8.8213,+nan
9.80,0.7847,60.918,52.111,nan,+8.8062,+nan
9.90,0.7840,60.769,52.091,nan,+8.6781,+nan
10.00,0.7833,60.901,52.071,nan,+8.8305,+nan
