artifact,exists,executable,verified,classification,notes
.env.example,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
ARCHITECTURE.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_architecture.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
cad_simulation_results.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
cad_thermal_network.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
cfs_integration_report.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
config.py,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
DEPENDENCY_GRAPH.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
docker-compose.yml,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
Dockerfile.backend,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
geometry_optimal_design.json,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
geometry_pareto_front.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
hil_results.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
LICENSE,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
memory_budget.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
MIGRATION_REPORT.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
optimization_results.csv,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
pyproject.toml,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
README.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
requirements.txt,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
ROADMAP.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
run_hostile_audit.py,TRUE,FALSE,FALSE,MOCKED,Exposes mocked subsystem footprint (dummy_key).
timing_analysis.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
VALIDATION_REPORT.md,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/astos_app.c,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/astos_app.h,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
astos_cfs_app/astos_msg.h,TRUE,FALSE,FALSE,REAL,Nominal flight/ground asset.
