Time_s,Time_Min,Solar_Flux_W_m2,Albedo_Flux_W_m2,Earth_IR_Flux_W_m2,Total_Flux_W_m2,Is_Eclipse,T_CPU_C,T_Battery_C,T_Payload_C,T_Structure_C,T_Radiator_C,T_Panels_C
0.0,0.0,1314.63,349.17,240.0,1903.79,0,20.0,20.0,20.0,20.0,20.0,20.0
5.0,0.08,1314.6,349.16,240.0,1903.76,0,20.29,20.01,20.07,19.96,18.77,24.37
10.0,0.17,1314.54,349.14,240.0,1903.68,0,20.56,20.03,20.15,19.91,17.72,28.72
15.0,0.25,1314.44,349.12,240.0,1903.55,0,20.82,20.04,20.22,19.84,16.83,33.04
20.0,0.33,1314.29,349.08,240.0,1903.36,0,21.06,20.05,20.28,19.76,16.06,37.35
25.0,0.42,1314.1,349.03,240.0,1903.12,0,21.3,20.07,20.34,19.68,15.4,41.63
30.0,0.5,1313.87,348.96,240.0,1902.83,0,21.52,20.08,20.4,19.59,14.83,45.9
35.0,0.58,1313.59,348.89,240.0,1902.48,0,21.72,20.09,20.45,19.49,14.34,50.14
40.0,0.67,1313.27,348.81,240.0,1902.08,0,21.92,20.1,20.5,19.4,13.91,54.36
45.0,0.75,1312.92,348.71,240.0,1901.63,0,22.11,20.11,20.55,19.3,13.53,58.55
50.0,0.83,1312.52,348.61,240.0,1901.12,0,22.28,20.12,20.59,19.2,13.2,62.73
55.0,0.92,1312.07,348.49,240.0,1900.56,0,22.44,20.14,20.63,19.11,12.9,66.87
60.0,1.0,1311.59,348.36,240.0,1899.95,0,22.6,20.15,20.67,19.01,12.64,71.0
65.0,1.08,1311.06,348.22,240.0,1899.28,0,22.74,20.16,20.7,18.92,12.4,75.1
70.0,1.17,1310.49,348.07,240.0,1898.56,0,22.87,20.17,20.73,18.82,12.19,79.17
75.0,1.25,1309.88,347.91,240.0,1897.79,0,23.0,20.18,20.76,18.73,11.99,83.22
80.0,1.33,1309.23,347.73,240.0,1896.96,0,23.11,20.19,20.79,18.64,11.82,87.24
85.0,1.42,1308.53,347.55,240.0,1896.08,0,23.22,20.2,20.81,18.56,11.66,91.23
90.0,1.5,1307.79,347.35,240.0,1895.15,0,23.32,20.21,20.83,18.48,11.51,95.2
95.0,1.58,1307.02,347.15,240.0,1894.16,0,23.42,20.22,20.84,18.4,11.37,99.14
100.0,1.67,1306.19,346.93,240.0,1893.12,0,23.5,20.22,20.86,18.32,11.25,103.05
105.0,1.75,1305.33,346.7,240.0,1892.03,0,23.58,20.23,20.87,18.24,11.13,106.94
110.0,1.83,1304.43,346.46,240.0,1890.88,0,23.66,20.24,20.88,18.17,11.02,110.79
115.0,1.92,1303.48,346.21,240.0,1889.68,0,23.73,20.25,20.88,18.1,10.92,114.62
120.0,2.0,1302.49,345.94,240.0,1888.43,0,23.79,20.26,20.89,18.03,10.82,118.41
125.0,2.08,1301.46,345.67,240.0,1887.13,0,23.85,20.27,20.89,17.97,10.73,122.18
130.0,2.17,1300.39,345.38,240.0,1885.77,0,23.9,20.27,20.9,17.91,10.64,125.91
135.0,2.25,1299.27,345.09,240.0,1884.36,0,23.95,20.28,20.9,17.85,10.56,129.62
140.0,2.33,1298.12,344.78,240.0,1882.9,0,24.0,20.29,20.9,17.79,10.49,133.29
145.0,2.42,1296.92,344.46,240.0,1881.38,0,24.04,20.29,20.9,17.74,10.42,136.93
150.0,2.5,1295.68,344.13,240.0,1879.82,0,24.08,20.3,20.89,17.69,10.35,140.54
155.0,2.58,1294.4,343.79,240.0,1878.19,0,24.11,20.31,20.89,17.64,10.28,144.12
160.0,2.67,1293.08,343.44,240.0,1876.52,0,24.14,20.32,20.88,17.59,10.22,147.66
165.0,2.75,1291.71,343.08,240.0,1874.79,0,24.17,20.32,20.88,17.55,10.16,151.17
170.0,2.83,1290.31,342.71,240.0,1873.02,0,24.19,20.33,20.87,17.5,10.11,154.64
175.0,2.92,1288.86,342.32,240.0,1871.19,0,24.22,20.33,20.86,17.46,10.05,158.09
180.0,3.0,1287.37,341.93,240.0,1869.3,0,24.24,20.34,20.85,17.43,10.0,161.49
185.0,3.08,1285.84,341.52,240.0,1867.37,0,24.25,20.35,20.84,17.39,9.96,164.87
190.0,3.17,1284.27,341.11,240.0,1865.38,0,24.27,20.35,20.83,17.36,9.91,168.2
195.0,3.25,1282.66,340.68,240.0,1863.34,0,24.28,20.36,20.82,17.32,9.87,171.51
