Time_Min,Temp_C,Q_Solar_W,Q_Rad_Out_W,Is_Eclipse
0.0,23.17,838.28,749.63,0
0.17,23.22,838.37,750.16,0
0.33,23.28,838.36,750.68,0
0.5,23.33,838.24,751.21,0
0.67,23.38,838.03,751.74,0
0.83,23.43,837.71,752.27,0
1.0,23.48,837.29,752.79,0
1.17,23.53,836.77,753.32,0
1.33,23.59,836.14,753.84,0
1.5,23.64,835.41,754.37,0
1.67,23.69,834.58,754.89,0
1.83,23.74,833.65,755.42,0
2.0,23.79,832.61,755.94,0
2.17,23.84,831.48,756.46,0
2.33,23.89,830.24,756.98,0
2.5,23.94,828.9,757.5,0
2.67,24.0,827.45,758.02,0
2.83,24.05,825.91,758.54,0
3.0,24.1,824.27,759.05,0
3.17,24.15,822.52,759.57,0
3.33,24.2,820.67,760.08,0
3.5,24.25,818.73,760.59,0
3.67,24.3,816.68,761.1,0
3.83,24.35,814.53,761.61,0
4.0,24.39,812.29,762.12,0
4.17,24.44,809.94,762.62,0
4.33,24.49,807.49,763.12,0
4.5,24.54,804.95,763.63,0
4.67,24.59,802.31,764.12,0
4.83,24.64,799.56,764.62,0
5.0,24.69,796.72,765.12,0
5.17,24.73,793.79,765.61,0
5.33,24.78,790.75,766.1,0
5.5,24.83,787.62,766.58,0
5.67,24.87,784.39,767.07,0
5.83,24.92,781.07,767.55,0
6.0,24.97,777.65,768.03,0
6.17,25.01,774.14,768.51,0
6.33,25.06,770.53,768.98,0
6.5,25.1,766.82,769.45,0
6.67,25.15,763.02,769.92,0
6.83,25.19,759.13,770.39,0
7.0,25.24,755.15,770.85,0
7.17,25.28,751.07,771.31,0
7.33,25.33,746.9,771.76,0
7.5,25.37,742.64,772.21,0
7.67,25.41,738.29,772.66,0
7.83,25.45,733.85,773.11,0
8.0,25.5,729.32,773.55,0
8.17,25.54,724.7,773.99,0
8.33,25.58,719.99,774.42,0
8.5,25.62,715.19,774.85,0
8.67,25.66,710.3,775.28,0
8.83,25.7,705.33,775.7,0
9.0,25.74,700.27,776.12,0
9.17,25.78,695.13,776.53,0
9.33,25.82,689.9,776.95,0
9.5,25.86,684.58,777.35,0
9.67,25.9,679.19,777.75,0
9.83,25.94,673.71,778.15,0
10.0,25.97,668.14,778.54,0
10.17,26.01,662.5,778.93,0
10.33,26.05,656.77,779.32,0
10.5,26.08,650.96,779.7,0
10.67,26.12,645.07,780.07,0
10.83,26.15,639.11,780.44,0
11.0,26.19,633.06,780.81,0
11.17,26.22,626.94,781.17,0
11.33,26.26,620.74,781.53,0
11.5,26.29,614.47,781.88,0
11.67,26.32,608.12,782.22,0
11.83,26.35,601.69,782.57,0
12.0,26.38,595.2,782.9,0
12.17,26.42,588.62,783.23,0
12.33,26.45,581.98,783.56,0
12.5,26.48,575.27,783.88,0
12.67,26.51,568.48,784.19,0
12.83,26.54,561.63,784.5,0
13.0,26.56,554.7,784.81,0
13.17,26.59,547.71,785.1,0
13.33,26.62,540.65,785.4,0
13.5,26.65,533.53,785.68,0
13.67,26.67,526.34,785.97,0
13.83,26.7,519.08,786.24,0
14.0,26.72,511.77,786.51,0
14.17,26.75,504.38,786.78,0
14.33,26.77,496.94,787.03,0
14.5,26.8,489.44,787.29,0
14.67,26.82,481.88,787.53,0
14.83,26.84,474.25,787.77,0
15.0,26.86,466.57,788.01,0
15.17,26.88,458.83,788.24,0
15.33,26.9,451.04,788.46,0
15.5,26.92,443.19,788.67,0
15.67,26.94,435.29,788.88,0
15.83,26.96,427.33,789.09,0
16.0,26.98,419.32,789.28,0
16.17,27.0,411.26,789.48,0
16.33,27.01,403.15,789.66,0
16.5,27.03,394.99,789.84,0
16.67,27.05,386.78,790.01,0
