Timestamp_Epoch,Orbit_Time_Min,ISS_ATCS_CPU_Raw_C,ISS_ATCS_Battery_Raw_C,ISS_ATCS_Radiator_Raw_C,Solar_Flux_W_m2,Payload_Power_W,CPU_Cleaned_C,Radiator_Cleaned_C,CPU_Filtered_C,Radiator_Filtered_C
177984000,0.0,40.199,23.078,36.259,1361.0,15.0,40.199,36.89,40.199,36.89
177984021,0.36,40.146,23.253,36.89,1361.0,15.0,40.430499999999995,37.028999999999996,40.256874999999994,36.92475
177984043,0.72,40.662,22.784,37.168,1361.0,15.0,40.662,37.168,40.35815624999999,36.9855625
177984064,1.08,41.213,23.107,37.588,1361.0,15.0,40.711,37.588,40.446367187499995,37.136171875
177984086,1.44,40.711,22.954,39.852,1361.0,15.0,40.911,39.852,40.562525390625,37.81512890625
177984108,1.8,40.911,23.008,40.629,1361.0,15.0,41.213,40.629,40.72514404296875,38.5185966796875
177984129,2.16,41.836,23.022,42.128,1361.0,15.0,41.413,42.128,40.89710803222656,39.420947509765625
177984151,2.53,41.71,23.012,42.937,1361.0,15.0,41.71,42.937,41.100331024169925,40.299960632324215
177984173,2.89,41.413,23.18,44.349,1361.0,15.0,41.808,43.956,41.277248268127444,41.21397047424316
177984194,3.25,42.015,23.08,43.956,1361.0,15.0,41.808,44.349,41.40993620109558,41.99772785568237
177984216,3.61,41.808,23.278,46.651,1361.0,15.0,42.002,46.651,41.55795215082169,43.16104589176178
177984238,3.97,42.002,23.262,46.664,1361.0,15.0,42.002,46.664,41.66896411311627,44.03678441882134
177984259,4.33,42.478,23.267,49.368,1361.0,15.0,42.002,47.885,41.752223084837205,44.998838314116
177984281,4.69,41.807,23.201,47.885,1361.0,15.0,42.072,49.368,41.832167313627906,46.091128735587
177984303,5.05,42.072,23.284,51.065,1361.0,15.0,42.478,50.669,41.99362548522093,47.23559655169025
177984324,5.41,42.726,23.519,50.669,1361.0,15.0,42.726,50.883,42.176719113915695,48.147447413767686
177984346,5.77,42.732,23.515,50.883,1361.0,15.0,42.732,51.065,42.31553933543677,48.876835560325766
177984367,6.13,43.447,23.329,52.001,1361.0,15.0,43.119,52.001,42.516404501577576,49.65787667024433
177984389,6.49,43.14,23.526,53.105,1361.0,15.0,43.14,53.105,42.67230337618318,50.519657502683245
177984411,6.85,43.119,23.66,54.72,1361.0,15.0,43.447,54.72,42.865977532137386,51.56974312701244
177984432,7.21,44.447,23.333,55.741,1361.0,15.0,43.946,55.674,43.13598314910304,52.59580734525933
177984454,7.58,43.946,23.701,55.674,1361.0,15.0,43.946,55.741,43.33848736182728,53.38210550894449
177984476,7.94,44.236,23.557,57.075,1361.0,15.0,44.236,57.075,43.56286552137046,54.30532913170836
177984497,8.3,43.809,23.778,59.917,1361.0,15.0,44.236,59.917,43.73114914102784,55.70824684878127
177984519,8.66,44.328,23.615,60.422,1361.0,15.0,44.328,60.122,43.88036185577088,56.81168513658595
177984541,9.02,44.755,23.496,60.122,1361.0,15.0,44.411,60.422,44.01302139182816,57.714263852439466
177984562,9.38,44.411,23.56,60.611,1361.0,15.0,44.755,60.611,44.19851604387112,58.438447889329595
177984584,9.74,45.18,23.849,61.516,1361.0,15.0,44.945,61.516,44.385137032903344,59.20783591699719
177984606,10.1,44.945,23.919,62.774,1361.0,15.0,45.18,62.098,44.58385277467751,59.930376937747894
177984627,10.46,45.22,23.782,62.098,1361.0,15.0,45.22,62.774,44.742889581008136,60.64128270331092
177984649,10.82,45.244,24.051,63.566,1361.0,15.0,45.244,63.056,44.8681671857561,61.24496202748318
177984670,11.18,46.371,23.744,63.056,1361.0,15.0,45.486,63.566,45.02262538931707,61.82522152061239
177984692,11.54,45.766,24.021,65.659,1361.0,15.0,45.766,65.659,45.208469041987804,62.78366614045929
177984714,11.9,45.486,23.887,66.605,1361.0,15.0,46.371,65.659,45.49910178149086,63.50249960534447
177984735,12.26,46.372,24.008,66.291,1361.0,15.0,46.372,66.291,45.71732633611815,64.19962470400836
177984757,12.63,70.685,24.151,-11.175,1361.0,15.0,46.372,66.605,45.88099475208861,64.80096852800627
177984779,12.99,46.383,24.052,66.968,1361.0,15.0,46.372,66.968,46.00374606406646,65.34272639600471
177984800,13.35,45.638,24.161,67.395,1361.0,15.0,46.383,67.395,46.09855954804985,65.85579479700353
177984822,13.71,46.008,24.407,69.535,1361.0,15.0,46.383,69.535,46.16966966103739,66.77559609775264
