Time_Min,Temp_C,Q_Solar_W,Q_Rad_Out_W,Is_Eclipse
0.0,20.05,838.38,718.55,0
0.17,20.11,838.32,719.09,0
0.33,20.16,838.17,719.62,0
0.5,20.22,837.91,720.16,0
0.67,20.27,837.55,720.69,0
0.83,20.33,837.09,721.22,0
1.0,20.38,836.53,721.75,0
1.17,20.43,835.86,722.28,0
1.33,20.49,835.09,722.82,0
1.5,20.54,834.22,723.35,0
1.67,20.59,833.25,723.88,0
1.83,20.65,832.17,724.4,0
2.0,20.7,830.99,724.93,0
2.17,20.76,829.71,725.46,0
2.33,20.81,828.33,725.99,0
2.5,20.86,826.85,726.51,0
2.67,20.91,825.27,727.03,0
2.83,20.97,823.58,727.56,0
3.0,21.02,821.79,728.08,0
3.17,21.07,819.91,728.6,0
3.33,21.12,817.92,729.12,0
3.5,21.18,815.83,729.63,0
3.67,21.23,813.65,730.15,0
3.83,21.28,811.36,730.66,0
4.0,21.33,808.97,731.17,0
4.17,21.38,806.49,731.68,0
4.33,21.43,803.9,732.19,0
4.5,21.48,801.22,732.7,0
4.67,21.53,798.44,733.2,0
4.83,21.58,795.56,733.7,0
5.0,21.63,792.59,734.2,0
5.17,21.68,789.51,734.7,0
5.33,21.73,786.34,735.19,0
5.5,21.78,783.08,735.68,0
5.67,21.83,779.71,736.17,0
5.83,21.88,776.26,736.66,0
6.0,21.93,772.7,737.14,0
6.17,21.97,769.06,737.63,0
6.33,22.02,765.31,738.1,0
6.5,22.07,761.48,738.58,0
6.67,22.12,757.55,739.05,0
6.83,22.16,753.53,739.52,0
7.0,22.21,749.42,739.99,0
7.17,22.25,745.21,740.45,0
7.33,22.3,740.91,740.91,0
7.5,22.34,736.53,741.37,0
7.67,22.39,732.05,741.82,0
7.83,22.43,727.48,742.27,0
8.0,22.48,722.82,742.72,0
8.17,22.52,718.08,743.16,0
8.33,22.57,713.25,743.6,0
8.5,22.61,708.33,744.04,0
8.67,22.65,703.32,744.47,0
8.83,22.69,698.23,744.9,0
9.0,22.73,693.05,745.32,0
9.17,22.78,687.78,745.74,0
9.33,22.82,682.44,746.16,0
9.5,22.86,677.0,746.57,0
9.67,22.9,671.49,746.98,0
9.83,22.94,665.89,747.38,0
10.0,22.98,660.21,747.78,0
10.17,23.01,654.46,748.17,0
10.33,23.05,648.62,748.56,0
10.5,23.09,642.7,748.95,0
10.67,23.13,636.7,749.33,0
10.83,23.16,630.62,749.71,0
11.0,23.2,624.47,750.08,0
11.17,23.24,618.24,750.44,0
11.33,23.27,611.94,750.81,0
11.5,23.31,605.56,751.16,0
11.67,23.34,599.1,751.52,0
11.83,23.37,592.58,751.86,0
12.0,23.41,585.98,752.21,0
12.17,23.44,579.3,752.54,0
12.33,23.47,572.56,752.87,0
12.5,23.5,565.75,753.2,0
12.67,23.53,558.87,753.52,0
12.83,23.56,551.91,753.84,0
13.0,23.59,544.9,754.15,0
13.17,23.62,537.81,754.46,0
13.33,23.65,530.66,754.76,0
13.5,23.68,523.44,755.05,0
13.67,23.71,516.16,755.34,0
13.83,23.74,508.82,755.62,0
14.0,23.76,501.41,755.9,0
14.17,23.79,493.95,756.17,0
14.33,23.82,486.42,756.44,0
14.5,23.84,478.83,756.7,0
14.67,23.86,471.19,756.95,0
14.83,23.89,463.48,757.2,0
15.0,23.91,455.72,757.44,0
15.17,23.93,447.91,757.68,0
15.33,23.96,440.04,757.91,0
15.5,23.98,432.11,758.13,0
15.67,24.0,424.13,758.35,0
15.83,24.02,416.1,758.56,0
16.0,24.04,408.02,758.77,0
16.17,24.06,399.89,758.97,0
16.33,24.08,391.71,759.16,0
16.5,24.09,383.48,759.35,0
16.67,24.11,375.21,759.53,0
16.83,24.13,366.89,759.71,0
17.0,24.14,358.52,759.87,0
17.17,24.16,350.11,760.03,0
17.33,24.17,341.66,760.19,0
17.5,24.19,333.17,760.34,0
17.67,24.2,324.63,760.48,0
17.83,24.21,316.06,760.62,0
18.0,24.22,307.44,760.75,0
18.17,24.23,298.79,760.87,0
18.33,24.25,290.11,760.98,0
18.5,24.26,281.38,761.09,0
18.67,24.26,272.62,761.19,0
18.83,24.27,263.83,761.29,0
19.0,24.28,255.01,761.38,0
19.17,24.29,246.15,761.46,0
19.33,24.3,237.27,761.54,0
19.5,24.3,228.36,761.61,0
19.67,24.31,219.41,761.67,0
19.83,24.31,210.45,761.72,0
20.0,24.32,201.45,761.77,0
20.17,24.32,192.43,761.81,0
20.33,24.32,183.39,761.85,0
20.5,24.32,174.32,761.87,0
20.67,24.33,165.24,761.89,0
20.83,24.33,156.13,761.91,0
21.0,24.33,147.0,761.91,0
21.17,24.32,137.86,761.91,0
21.33,24.32,128.7,761.91,0
21.5,24.32,119.52,761.89,0
21.67,24.32,110.33,761.87,0
21.83,24.32,101.13,761.84,0
22.0,24.31,91.91,761.81,0
22.17,24.31,82.68,761.77,0
22.33,24.3,73.44,761.72,0
22.5,24.29,64.19,761.66,0
22.67,24.29,54.94,761.6,0
22.83,24.28,45.68,761.53,0
23.0,24.27,36.41,761.45,0
23.17,24.26,27.14,761.37,0
23.33,24.25,17.86,761.28,0
23.5,24.24,8.58,761.18,0
23.67,24.23,0.0,761.08,0
23.83,24.22,0.0,760.97,0
24.0,24.21,0.0,760.85,0
24.17,24.2,0.0,760.74,0
24.33,24.19,0.0,760.63,0
24.5,24.18,0.0,760.52,0
24.67,24.17,0.0,760.41,0
24.83,24.16,0.0,760.3,0
25.0,24.15,0.0,760.19,0
25.17,24.14,0.0,760.08,0
25.33,24.13,0.0,759.97,0
25.5,24.11,0.0,759.86,0
25.67,24.1,0.0,759.75,0
25.83,24.09,0.0,759.64,0
26.0,24.08,0.0,759.53,0
26.17,24.07,0.0,759.42,0
26.33,24.06,0.0,759.31,0
26.5,24.05,0.0,759.2,0
26.67,24.04,0.0,759.09,0
26.83,24.03,0.0,758.98,0
27.0,24.02,0.0,758.87,0
27.17,24.01,0.0,758.77,0
27.33,24.0,0.0,758.66,0
27.5,23.99,0.0,758.55,0
27.67,23.98,0.0,758.44,0
27.83,23.96,0.0,758.33,0
28.0,23.95,0.0,758.22,0
28.17,23.94,0.0,758.11,0
28.33,23.93,0.0,758.0,0
28.5,23.92,0.0,757.9,0
28.67,23.91,0.0,757.79,0
28.83,23.9,0.0,757.68,0
29.0,23.89,0.0,757.57,0
29.17,23.88,0.0,757.46,0
29.33,23.87,0.0,757.36,0
29.5,23.86,0.0,757.25,0
29.67,23.85,0.0,757.14,0
29.83,23.84,0.0,757.03,0
30.0,23.83,0.0,756.93,0
30.17,23.82,0.0,756.82,0
30.33,23.81,0.0,756.71,0
30.5,23.8,0.0,756.6,0
30.67,23.78,0.0,756.5,0
30.83,23.77,0.0,756.39,0
31.0,23.76,0.0,756.28,0
31.17,23.75,0.0,756.18,0
31.33,23.74,0.0,756.07,0
31.5,23.73,0.0,755.96,0
31.67,23.72,0.0,755.86,0
31.83,23.71,0.0,755.75,0
32.0,23.7,0.0,755.64,0
32.17,23.69,0.0,755.54,0
32.33,23.68,0.0,755.43,0
32.5,23.67,0.0,755.32,0
32.67,23.66,0.0,755.22,0
32.83,23.65,0.0,755.11,0
33.0,23.64,0.0,755.01,0
33.17,23.63,0.0,754.9,0
33.33,23.62,0.0,754.79,0
33.5,23.61,0.0,754.69,0
33.67,23.6,0.0,754.58,0
33.83,23.59,0.0,754.48,0
34.0,23.58,0.0,754.37,0
