Time_s,Time_Min,Solar_Flux_W_m2,Albedo_Flux_W_m2,Earth_IR_Flux_W_m2,Total_Flux_W_m2,Is_Eclipse,T_CPU_C,T_Battery_C,T_Payload_C,T_Structure_C,T_Radiator_C,T_Panels_C
0.0,0.0,1314.63,349.17,240.0,1903.79,0,20.0,20.0,20.0,20.0,20.0,20.0
5.0,0.08,1314.6,349.16,240.0,1903.76,0,20.29,20.02,20.07,19.96,18.53,24.37
10.0,0.17,1314.54,349.14,240.0,1903.68,0,20.56,20.04,20.15,19.9,17.28,28.71
15.0,0.25,1314.44,349.12,240.0,1903.55,0,20.82,20.06,20.22,19.82,16.22,33.03
20.0,0.33,1314.29,349.08,240.0,1903.36,0,21.06,20.08,20.28,19.74,15.31,37.32
25.0,0.42,1314.1,349.03,240.0,1903.12,0,21.29,20.1,20.34,19.64,14.53,41.59
30.0,0.5,1313.87,348.96,240.0,1902.83,0,21.51,20.11,20.4,19.54,13.86,45.83
35.0,0.58,1313.59,348.89,240.0,1902.48,0,21.72,20.13,20.45,19.43,13.29,50.05
40.0,0.67,1313.27,348.81,240.0,1902.08,0,21.91,20.15,20.5,19.32,12.78,54.24
45.0,0.75,1312.92,348.71,240.0,1901.63,0,22.09,20.16,20.54,19.21,12.34,58.41
50.0,0.83,1312.52,348.61,240.0,1901.12,0,22.26,20.18,20.59,19.1,11.96,62.55
55.0,0.92,1312.07,348.49,240.0,1900.56,0,22.42,20.2,20.62,18.99,11.62,66.66
60.0,1.0,1311.59,348.36,240.0,1899.95,0,22.57,20.21,20.66,18.88,11.32,70.74
65.0,1.08,1311.06,348.22,240.0,1899.28,0,22.71,20.22,20.69,18.77,11.05,74.8
70.0,1.17,1310.49,348.07,240.0,1898.56,0,22.84,20.24,20.71,18.67,10.8,78.82
75.0,1.25,1309.88,347.91,240.0,1897.79,0,22.96,20.25,20.74,18.57,10.58,82.82
80.0,1.33,1309.23,347.73,240.0,1896.96,0,23.07,20.27,20.76,18.47,10.39,86.79
85.0,1.42,1308.53,347.55,240.0,1896.08,0,23.17,20.28,20.77,18.37,10.2,90.73
90.0,1.5,1307.79,347.35,240.0,1895.15,0,23.27,20.29,20.79,18.28,10.04,94.64
95.0,1.58,1307.02,347.15,240.0,1894.16,0,23.36,20.3,20.8,18.19,9.89,98.51
100.0,1.67,1306.19,346.93,240.0,1893.12,0,23.44,20.31,20.81,18.1,9.75,102.36
105.0,1.75,1305.33,346.7,240.0,1892.03,0,23.51,20.33,20.82,18.02,9.61,106.18
110.0,1.83,1304.43,346.46,240.0,1890.88,0,23.58,20.34,20.82,17.94,9.49,109.96
115.0,1.92,1303.48,346.21,240.0,1889.68,0,23.64,20.35,20.83,17.86,9.38,113.71
120.0,2.0,1302.49,345.94,240.0,1888.43,0,23.7,20.36,20.83,17.79,9.27,117.43
125.0,2.08,1301.46,345.67,240.0,1887.13,0,23.75,20.37,20.83,17.72,9.18,121.12
130.0,2.17,1300.39,345.38,240.0,1885.77,0,23.8,20.38,20.83,17.65,9.08,124.78
135.0,2.25,1299.27,345.09,240.0,1884.36,0,23.84,20.39,20.82,17.59,8.99,128.4
140.0,2.33,1298.12,344.78,240.0,1882.9,0,23.88,20.4,20.82,17.53,8.91,131.98
145.0,2.42,1296.92,344.46,240.0,1881.38,0,23.92,20.4,20.81,17.47,8.83,135.54
150.0,2.5,1295.68,344.13,240.0,1879.82,0,23.95,20.41,20.8,17.42,8.76,139.06
155.0,2.58,1294.4,343.79,240.0,1878.19,0,23.98,20.42,20.79,17.37,8.69,142.54
160.0,2.67,1293.08,343.44,240.0,1876.52,0,24.0,20.43,20.78,17.32,8.63,145.99
165.0,2.75,1291.71,343.08,240.0,1874.79,0,24.03,20.44,20.77,17.28,8.57,149.4
170.0,2.83,1290.31,342.71,240.0,1873.02,0,24.05,20.45,20.76,17.23,8.51,152.78
175.0,2.92,1288.86,342.32,240.0,1871.19,0,24.06,20.45,20.75,17.19,8.45,156.13
180.0,3.0,1287.37,341.93,240.0,1869.3,0,24.08,20.46,20.74,17.15,8.4,159.43
185.0,3.08,1285.84,341.52,240.0,1867.37,0,24.09,20.47,20.72,17.12,8.35,162.7
