Timestamp_Epoch,Orbit_Time_Min,ISS_ATCS_CPU_Raw_C,ISS_ATCS_Battery_Raw_C,ISS_ATCS_Radiator_Raw_C,Solar_Flux_W_m2,Payload_Power_W
177984000,0.0,40.199,23.078,36.259,1361.0,15.0
177984021,0.36,40.146,23.253,36.89,1361.0,15.0
177984043,0.72,40.662,22.784,37.168,1361.0,15.0
177984064,1.08,41.213,23.107,37.588,1361.0,15.0
177984086,1.44,40.711,22.954,39.852,1361.0,15.0
177984108,1.8,40.911,23.008,40.629,1361.0,15.0
177984129,2.16,41.836,23.022,42.128,1361.0,15.0
177984151,2.53,41.71,23.012,42.937,1361.0,15.0
177984173,2.89,41.413,23.18,44.349,1361.0,15.0
177984194,3.25,42.015,23.08,43.956,1361.0,15.0
177984216,3.61,41.808,23.278,46.651,1361.0,15.0
177984238,3.97,42.002,23.262,46.664,1361.0,15.0
177984259,4.33,42.478,23.267,49.368,1361.0,15.0
177984281,4.69,41.807,23.201,47.885,1361.0,15.0
177984303,5.05,42.072,23.284,51.065,1361.0,15.0
177984324,5.41,42.726,23.519,50.669,1361.0,15.0
177984346,5.77,42.732,23.515,50.883,1361.0,15.0
177984367,6.13,43.447,23.329,52.001,1361.0,15.0
177984389,6.49,43.14,23.526,53.105,1361.0,15.0
177984411,6.85,43.119,23.66,54.72,1361.0,15.0
177984432,7.21,44.447,23.333,55.741,1361.0,15.0
177984454,7.58,43.946,23.701,55.674,1361.0,15.0
177984476,7.94,44.236,23.557,57.075,1361.0,15.0
177984497,8.3,43.809,23.778,59.917,1361.0,15.0
177984519,8.66,44.328,23.615,60.422,1361.0,15.0
177984541,9.02,44.755,23.496,60.122,1361.0,15.0
177984562,9.38,44.411,23.56,60.611,1361.0,15.0
177984584,9.74,45.18,23.849,61.516,1361.0,15.0
177984606,10.1,44.945,23.919,62.774,1361.0,15.0
177984627,10.46,45.22,23.782,62.098,1361.0,15.0
177984649,10.82,45.244,24.051,63.566,1361.0,15.0
177984670,11.18,46.371,23.744,63.056,1361.0,15.0
177984692,11.54,45.766,24.021,65.659,1361.0,15.0
177984714,11.9,45.486,23.887,66.605,1361.0,15.0
177984735,12.26,46.372,24.008,66.291,1361.0,15.0
177984757,12.63,70.685,24.151,-11.175,1361.0,15.0
177984779,12.99,46.383,24.052,66.968,1361.0,15.0
177984800,13.35,45.638,24.161,67.395,1361.0,15.0
177984822,13.71,46.008,24.407,69.535,1361.0,15.0
177984844,14.07,46.732,24.207,70.873,1361.0,15.0
177984865,14.43,47.059,24.456,72.023,1361.0,15.0
177984887,14.79,46.937,24.197,70.648,1361.0,15.0
177984909,15.15,46.924,24.483,72.562,1361.0,15.0
177984930,15.51,46.946,24.656,72.064,1361.0,15.0
177984952,15.87,46.567,24.105,72.428,1361.0,15.0
177984973,16.23,46.958,24.392,73.838,1361.0,15.0
177984995,16.59,47.145,24.633,74.066,1361.0,15.0
177985017,16.95,47.831,24.551,72.472,1361.0,15.0
177985038,17.31,47.619,24.672,75.607,1361.0,15.0
177985060,17.68,46.845,24.56,75.882,1361.0,15.0
177985082,18.04,47.744,24.697,74.414,1361.0,15.0
177985103,18.4,47.52,24.694,75.645,1361.0,15.0
177985125,18.76,47.458,24.926,76.019,1361.0,15.0
177985147,19.12,48.023,24.821,76.07,1361.0,15.0
177985168,19.48,48.235,24.866,75.574,1361.0,15.0
177985190,19.84,48.235,24.785,75.673,1361.0,15.0
177985212,20.2,47.561,24.804,76.437,1361.0,15.0
177985233,20.56,47.803,24.843,77.671,1361.0,15.0
177985255,20.92,48.084,24.997,77.235,1361.0,15.0
177985276,21.28,48.361,24.904,76.515,1361.0,15.0
177985298,21.64,47.794,25.039,77.619,1361.0,15.0
177985320,22.0,47.921,25.335,74.411,1361.0,15.0
177985341,22.36,47.557,25.181,78.032,1361.0,15.0
177985363,22.73,47.521,25.028,75.429,1361.0,15.0
177985385,23.09,48.318,25.283,76.639,1361.0,15.0
177985406,23.45,48.525,25.067,75.901,1361.0,15.0
177985428,23.81,47.938,24.847,75.66,1361.0,15.0
177985450,24.17,48.347,25.026,77.76,1361.0,15.0
177985471,24.53,48.065,24.919,76.158,1361.0,15.0
177985493,24.89,47.631,25.169,76.729,1361.0,15.0
177985515,25.25,47.998,25.246,76.186,1361.0,15.0
177985536,25.61,48.427,25.516,76.442,1361.0,15.0
177985558,25.97,47.752,25.333,75.841,1361.0,15.0
177985579,26.33,48.341,25.27,74.351,1361.0,15.0
177985601,26.69,46.612,25.446,76.11,1361.0,15.0
177985623,27.05,47.928,25.007,74.451,1361.0,15.0
177985644,27.41,47.568,25.391,73.151,1361.0,15.0
177985666,27.78,47.344,25.487,73.798,1361.0,15.0
177985688,28.14,47.425,25.164,75.141,1361.0,15.0
177985709,28.5,46.514,25.572,74.138,1361.0,15.0
177985731,28.86,47.137,25.464,72.617,1361.0,15.0
177985753,29.22,47.279,25.363,72.15,1361.0,15.0
177985774,29.58,47.634,25.532,71.685,1361.0,15.0
177985796,29.94,46.738,25.788,73.33,1361.0,15.0
177985818,30.3,46.519,25.484,71.268,1361.0,15.0
177985839,30.66,46.536,25.502,70.752,1361.0,15.0
177985861,31.02,46.992,25.404,70.711,1361.0,15.0
177985882,31.38,46.642,25.352,69.395,1361.0,15.0
177985904,31.74,46.179,25.61,68.321,1361.0,15.0
177985926,32.1,46.473,25.362,67.731,1361.0,15.0
177985947,32.46,46.18,25.505,67.175,1361.0,15.0
177985969,32.83,46.397,25.425,66.518,1361.0,15.0
177985991,33.19,45.594,25.571,66.499,1361.0,15.0
177986012,33.55,45.605,25.55,65.163,1361.0,15.0
177986034,33.91,45.437,25.656,65.029,1361.0,15.0
177986056,34.27,44.863,25.423,63.532,1361.0,15.0
177986077,34.63,45.418,25.457,62.891,1361.0,15.0
177986099,34.99,45.251,25.348,60.221,1361.0,15.0
177986121,35.35,44.993,25.424,62.026,1361.0,15.0
177986142,35.71,44.738,25.543,60.678,1361.0,15.0
177986164,36.07,44.103,25.594,60.414,1361.0,15.0
177986185,36.43,44.336,25.335,56.042,1361.0,15.0
177986207,36.79,44.2,25.597,59.647,1361.0,15.0
177986229,37.15,43.845,25.661,56.746,1361.0,15.0
177986250,37.52,43.928,25.51,56.959,1361.0,15.0
177986272,37.88,43.979,25.72,54.103,1361.0,15.0
177986294,38.24,44.393,25.311,54.654,1361.0,15.0
177986315,38.6,43.528,25.228,52.207,1361.0,15.0
