Time_Min,Onboard_EKF_State,Ground_Twin_State,Discrepancy,Action_Status
0.0,0.8552,0.8552,0.0052,NOMINAL
10.11,0.854,0.854,0.00121,NOMINAL
20.22,0.853,0.853,0.00097,NOMINAL
30.34,0.8492,0.8492,0.0038,NOMINAL
40.45,0.8513,0.8513,0.00212,NOMINAL
50.56,0.8451,0.8451,0.00624,NOMINAL
60.67,0.8516,0.8516,0.00655,NOMINAL
70.79,0.8534,0.8534,0.00175,NOMINAL
80.9,0.8463,0.8463,0.0071,NOMINAL
91.01,0.8478,0.8478,0.00152,NOMINAL
101.12,0.8462,0.8462,0.00159,NOMINAL
111.24,0.8546,0.8546,0.00843,NOMINAL
121.35,0.8512,0.8512,0.00346,NOMINAL
131.46,0.8513,0.8513,0.00013,NOMINAL
141.57,0.8533,0.8533,0.00196,NOMINAL
151.69,0.8532,0.8532,3e-05,NOMINAL
161.8,0.8485,0.8485,0.00473,NOMINAL
171.91,0.853,0.853,0.00453,NOMINAL
182.02,0.8496,0.8496,0.00345,NOMINAL
192.13,0.8497,0.8497,8e-05,NOMINAL
202.25,0.8456,0.8456,0.0041,NOMINAL
212.36,0.8337,0.8337,0.01183,NOMINAL
222.47,0.8213,0.8213,0.01245,NOMINAL
232.58,0.8059,0.8059,0.01539,NOMINAL
242.7,0.7882,0.7882,0.01768,NOMINAL
252.81,0.7779,0.7779,0.0103,NOMINAL
262.92,0.7674,0.7674,0.01055,NOMINAL
273.03,0.7565,0.7565,0.01086,NOMINAL
283.15,0.7413,0.7413,0.01526,NOMINAL
293.26,0.7298,0.7298,0.01146,NOMINAL
303.37,0.7163,0.7163,0.01354,NOMINAL
313.48,0.6989,0.6989,0.01734,NOMINAL
323.6,0.6904,0.6904,0.00857,NOMINAL
333.71,0.6747,0.6747,0.01568,NOMINAL
343.82,0.6561,0.6561,0.01855,NOMINAL
353.93,0.6507,0.6507,0.00541,NOMINAL
364.04,0.6343,0.6343,0.01639,NOMINAL
374.16,0.6225,0.6225,0.01181,NOMINAL
384.27,0.6006,0.6006,0.02193,NOMINAL
394.38,0.5916,0.5916,0.00902,NOMINAL
404.49,0.5789,0.5789,0.01267,NOMINAL
414.61,0.5626,0.5626,0.01632,NOMINAL
424.72,0.5457,0.5457,0.01686,NOMINAL
434.83,0.5372,0.5372,0.00854,NOMINAL
444.94,0.5258,0.5258,0.01134,NOMINAL
455.06,0.5085,0.5085,0.0173,NOMINAL
465.17,0.4998,0.4998,0.00869,NOMINAL
475.28,0.4778,0.4778,0.02202,NOMINAL
485.39,0.4711,0.4711,0.00669,NOMINAL
495.51,0.4595,0.4595,0.01158,NOMINAL
505.62,0.4548,0.4548,0.00475,NOMINAL
515.73,0.4529,0.4529,0.0019,NOMINAL
525.84,0.4554,0.4554,0.00246,NOMINAL
535.96,0.4535,0.4535,0.00184,NOMINAL
546.07,0.4454,0.4454,0.00817,NOMINAL
556.18,0.4545,0.4545,0.0091,NOMINAL
566.29,0.449,0.449,0.0055,NOMINAL
576.4,0.4567,0.4567,0.00773,NOMINAL
586.52,0.4506,0.4506,0.00612,NOMINAL
596.63,0.4493,0.4493,0.00125,NOMINAL
606.74,0.4491,0.4491,0.00023,NOMINAL
616.85,0.453,0.453,0.00388,NOMINAL
626.97,0.442,0.442,0.01093,NOMINAL
637.08,0.4583,0.4583,0.01628,NOMINAL
647.19,0.4506,0.4506,0.00767,NOMINAL
657.3,0.4545,0.4545,0.00385,NOMINAL
667.42,0.4509,0.4509,0.00363,NOMINAL
677.53,0.4509,0.4509,7e-05,NOMINAL
687.64,0.4455,0.4455,0.00542,NOMINAL
697.75,0.4525,0.4525,0.00695,NOMINAL
707.87,0.4517,0.4517,0.00074,NOMINAL
717.98,0.4577,0.4577,0.006,NOMINAL
728.09,0.4481,0.4481,0.00961,NOMINAL
738.2,0.4452,0.4452,0.00296,NOMINAL
748.31,0.4473,0.4473,0.00218,NOMINAL
758.43,0.4454,0.4454,0.00193,NOMINAL
768.54,0.4466,0.4466,0.00115,NOMINAL
778.65,0.4623,0.4623,0.01575,NOMINAL
788.76,0.4516,0.4516,0.01071,NOMINAL
798.88,0.4478,0.4478,0.00379,NOMINAL
808.99,0.4439,0.4439,0.00386,NOMINAL
819.1,0.4501,0.4501,0.00613,NOMINAL
829.21,0.4528,0.4528,0.0027,NOMINAL
839.33,0.4437,0.4437,0.00906,NOMINAL
849.44,0.4542,0.4542,0.01051,NOMINAL
859.55,0.4469,0.4469,0.00736,NOMINAL
869.66,0.4542,0.4542,0.0073,NOMINAL
879.78,0.4578,0.4578,0.00364,NOMINAL
889.89,0.4548,0.4548,0.00302,NOMINAL
900.0,0.4527,0.4527,0.00213,NOMINAL
