day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
0.00,cooperative,0,75.08,25.51,1,0
0.10,cooperative,0,109.53,28.95,2,1
0.20,cooperative,0,152.37,33.24,3,2
0.30,cooperative,0,193.47,37.35,4,3
0.40,cooperative,0,251.81,43.18,5,4
0.50,cooperative,0,308.15,48.81,6,5
0.60,cooperative,0,371.73,55.17,7,6
0.70,cooperative,0,408.25,58.82,8,7
0.80,cooperative,0,456.02,63.60,9,8
0.90,cooperative,0,490.62,67.06,10,9
1.00,cooperative,0,531.57,71.16,11,10
1.10,cooperative,0,582.15,76.22,12,11
1.20,cooperative,0,616.64,79.66,13,12
1.30,cooperative,0,656.92,83.69,14,13
1.40,cooperative,0,712.36,89.24,15,14
1.50,cooperative,0,764.27,94.43,16,15
1.60,cooperative,0,805.28,98.53,17,16
1.70,cooperative,0,858.68,103.87,18,17
1.80,cooperative,0,919.47,109.95,19,18
1.90,cooperative,0,953.29,113.33,20,19
2.00,cooperative,0,1013.97,119.40,21,20
2.10,cooperative,0,1071.02,125.10,22,21
2.20,cooperative,0,1116.06,129.61,23,22
2.30,cooperative,0,1154.88,133.49,24,23
2.40,cooperative,0,1220.64,140.06,25,24
2.50,cooperative,0,1265.55,144.56,26,25
2.60,cooperative,0,1302.27,148.23,27,26
2.70,cooperative,0,1339.12,151.91,28,27
2.80,cooperative,0,1401.19,158.12,29,28
2.90,cooperative,0,1455.08,163.51,30,29
3.00,cooperative,0,1515.80,169.58,31,30
3.10,cooperative,0,1573.92,175.39,32,31
3.20,cooperative,0,1625.54,180.55,33,32
3.30,cooperative,0,1691.83,187.18,34,33
3.40,cooperative,0,1738.15,191.82,35,34
3.50,cooperative,0,1790.30,197.03,36,35
3.60,cooperative,0,1851.77,203.18,37,36
3.70,cooperative,0,1906.15,208.61,38,37
3.80,cooperative,0,1968.70,214.87,39,38
3.90,cooperative,0,2021.70,220.17,40,39
4.00,cooperative,0,2078.98,225.90,41,40
4.10,cooperative,0,2114.12,229.41,42,41
4.20,cooperative,0,2155.37,233.54,43,42
4.30,cooperative,0,2198.70,237.87,44,43
4.40,cooperative,0,2234.98,241.50,45,44
4.50,cooperative,0,2276.40,245.64,46,45
4.60,cooperative,0,2313.39,249.34,47,46
4.70,cooperative,0,2356.33,253.63,48,47
4.80,cooperative,0,2411.29,259.13,49,48
4.90,cooperative,0,2457.15,263.71,50,49
5.00,cooperative,0,2503.19,268.32,51,50
5.10,cooperative,0,2543.83,272.38,52,51
5.20,cooperative,0,2586.40,276.64,53,52
5.30,cooperative,0,2651.47,283.15,54,53
5.40,cooperative,0,2706.84,288.68,55,54
