years,tid_rad_si,v_th_shift_volts,leakage_factor
0.08,782.35,0.0559,1.3912
0.17,1564.70,0.0791,1.7823
0.25,2347.05,0.0969,2.1735
0.33,3129.40,0.1119,2.5647
0.42,3911.74,0.1251,2.9559
0.50,4694.09,0.1370,3.3470
0.58,5476.44,0.1480,3.7382
0.67,6258.79,0.1582,4.1294
0.75,7041.14,0.1678,4.5206
0.83,7823.49,0.1769,4.9117
0.92,8605.84,0.1855,5.3029
1.00,9388.19,0.1938,5.6941
1.08,10170.53,0.2017,6.0853
1.17,10952.88,0.2093,6.4764
1.25,11735.23,0.2167,6.8676
1.33,12517.58,0.2238,7.2588
1.42,13299.93,0.2307,7.6500
1.50,14082.28,0.2373,8.0411
1.58,14864.63,0.2438,8.4323
1.67,15646.98,0.2502,8.8235
1.75,16429.33,0.2564,9.2147
1.83,17211.67,0.2624,9.6058
1.92,17994.02,0.2683,9.9970
2.00,18776.37,0.2741,10.3882
2.08,19558.72,0.2797,10.7794
2.17,20341.07,0.2852,11.1705
2.25,21123.42,0.2907,11.5617
2.33,21905.77,0.2960,11.9529
2.42,22688.12,0.3013,12.3441
2.50,23470.47,0.3064,12.7352
2.58,24252.81,0.3115,13.1264
2.67,25035.16,0.3165,13.5176
2.75,25817.51,0.3214,13.9088
2.83,26599.86,0.3262,14.2999
2.92,27382.21,0.3310,14.6911
3.00,28164.56,0.3356,15.0823
3.08,28946.91,0.3403,15.4735
3.17,29729.26,0.3448,15.8646
3.25,30511.60,0.3494,16.2558
3.33,31293.95,0.3538,16.6470
3.42,32076.30,0.3582,17.0382
3.50,32858.65,0.3625,17.4293
3.58,33641.00,0.3668,17.8205
3.67,34423.35,0.3711,18.2117
3.75,35205.70,0.3753,18.6028
3.83,35988.05,0.3794,18.9940
3.92,36770.40,0.3835,19.3852
4.00,37552.74,0.3876,19.7764
4.08,38335.09,0.3916,20.1675
4.17,39117.44,0.3956,20.5587
4.25,39899.79,0.3995,20.9499
4.33,40682.14,0.4034,21.3411
4.42,41464.49,0.4073,21.7322
4.50,42246.84,0.4111,22.1234
4.58,43029.19,0.4149,22.5146
4.67,43811.54,0.4186,22.9058
4.75,44593.88,0.4223,23.2969
4.83,45376.23,0.4260,23.6881
4.92,46158.58,0.4297,24.0793
5.00,46940.93,0.4333,24.4705
