Day,Elapsed_Hours,UV_Hours,ATOX_Fluence,Thermal_Cycles,Radiator_Emissivity,Panels_Emissivity,CPU_Structure_Conductance,CPU_Capacity,T_Max_CPU,T_Max_Battery,T_Max_Structure,T_Max_Radiator
0,0.0,0.0,0.0,0,0.85,0.1,2.0,200.0,84.79106772284314,61.4786358071546,78.09191909938858,60.201133519447296
30,720.0,468.0,2.592e+23,467,0.978558522258265,0.1321622166126025,1.9917808219178081,190.66,73.74722232591478,51.74923082977233,66.92491929988097,48.910670967093324
60,1440.0,936.0,5.184e+23,934,0.9628637566133965,0.15570436507990526,1.9835616438356165,184.0,71.55454369989883,50.21706797945194,64.66926034463165,47.238658686153826
90,2160.0,1404.0,7.776e+23,1402,0.9513754780714804,0.17293678289277942,1.9753424657534246,184.0,69.5022289376775,48.474673315289806,62.572418078696955,45.62327743553425
120,2880.0,1872.0,1.0368e+24,1869,0.9429662703876561,0.1855505944185158,1.9671232876712328,184.0,68.10046958225632,47.262454125553745,61.13133367856017,44.498426625459615
150,3600.0,2340.0,1.296e+24,2337,0.9368108856960612,0.19478367145590825,1.9589041095890412,184.0,67.11123510134661,46.385446600425894,60.10530310820428,43.68136908133761
180,4320.0,2808.0,1.5552e+24,2804,0.9323052578026744,0.20154211329598848,1.9506849315068493,184.0,66.39431596087354,45.73009624312226,59.353865389958685,43.066620491382594
210,5040.0,3276.0,1.8144e+24,3272,0.9290072214116449,0.2064891678825326,1.9424657534246574,184.0,65.86246973170961,45.22427300148752,58.78886631869858,42.5892943184009
240,5760.0,3744.0,2.0736e+24,3739,0.9265931196939866,0.21011032045902006,1.9342465753424658,184.0,65.4610214347523,44.824190638937125,58.35496397412476,42.207062978529564
270,6480.0,4212.0,2.3328e+24,4207,0.9248260418293965,0.21276093725590522,1.926027397260274,184.0,65.14871629664435,44.49513725720641,58.01066632494195,41.889720016809974
300,7200.0,4680.0,2.592e+24,4674,0.9235325734735754,0.21470113978963684,1.9178082191780823,184.0,64.90073092831517,44.21730255483436,57.7310093134688,41.61894888756865
330,7920.0,5148.0,2.8512e+24,5142,0.9225857785297665,0.21612133220535018,1.9095890410958904,184.0,64.69910770842284,43.97681877184078,57.49787348177739,41.381519519089466
360,8640.0,5616.0,3.1104e+24,5609,0.9218927421198785,0.2171608868201823,1.9013698630136986,184.0,64.53218082272122,43.76505374791043,57.29898269662306,41.16871879560051
365,8760.0,5694.0,3.1536e+24,5687,0.92179683473189,0.21730474790216492,1.9,184.0,64.50691200617621,43.73218046114579,57.26850299478809,41.135136325919746
