Time_min,T_CPU_Ctrl,T_CPU_Unctrl,Action,Louver_Eps
0.0,32.402960474267154,32.402960474267154,NOMINAL,0.15
1.0,36.98271349306499,36.98271349306499,NOMINAL,0.15
2.0,40.70281672298021,40.70281672298021,NOMINAL,0.15
3.0,44.334717472913255,44.334717472913255,NOMINAL,0.15
4.0,47.9556500646972,48.12974731584071,ACTIVE LOUVERS,0.85
5.0,51.09723516349408,52.12143311000201,ACTIVE LOUVERS,0.85
6.0,53.97963594246038,56.26054218903928,ACTIVE LOUVERS,0.85
7.0,56.77886683973958,60.47387098445686,ACTIVE LOUVERS,0.85
8.0,59.532660831008194,64.6884471510201,ACTIVE LOUVERS,0.85
9.0,62.21918234130255,68.84028307751369,ACTIVE LOUVERS,0.85
10.0,64.79932230479538,72.87645162587032,ACTIVE LOUVERS,0.85
11.0,67.23397403716135,76.7544735733361,ACTIVE LOUVERS,0.85
12.0,69.48988100323253,80.44079917843551,ACTIVE LOUVERS,0.85
13.0,67.97814741143324,83.90914921107156,CPU THROTTLING,0.15
14.0,68.70029569295396,87.13901566500716,CPU THROTTLING,0.15
15.0,70.49954801134781,90.1144140421407,CPU THROTTLING,0.15
16.0,72.64787532888151,92.82289024124464,CPU THROTTLING,0.15
17.0,74.79157834004018,95.25475137916939,CPU THROTTLING,0.15
18.0,76.76649150302319,97.40248101246792,CPU THROTTLING,0.15
19.0,78.49709387148174,99.26030090692906,CPU THROTTLING,0.15
20.0,79.94863202692625,100.82384702562574,CPU THROTTLING,0.15
21.0,81.1050650208335,102.08993372604364,CPU THROTTLING,0.15
22.0,79.07207553548291,103.05638598100262,EMERGENCY SAFE-MODE,0.85
23.0,79.592471566687,103.7253215382539,CPU THROTTLING,0.15
24.0,79.68761747561011,104.1203484811631,CPU THROTTLING,0.15
25.0,79.72494076616557,104.2889203958418,CPU THROTTLING,0.15
26.0,79.66891288908418,104.28238256421689,CPU THROTTLING,0.15
27.0,79.50575972273866,104.1454307779616,CPU THROTTLING,0.15
28.0,79.24612005239514,103.91403585213658,CPU THROTTLING,0.15
29.0,78.90890057618356,103.61608306830993,CPU THROTTLING,0.15
30.0,78.51331458925434,103.27276226721914,CPU THROTTLING,0.15
31.0,78.07601337669726,102.89998917575603,CPU THROTTLING,0.15
32.0,77.61045683574214,102.50962463543783,CPU THROTTLING,0.15
33.0,77.12713755045692,102.11044832913471,CPU THROTTLING,0.15
34.0,76.63406124686776,101.70891082221749,CPU THROTTLING,0.15
35.0,79.90672547036985,101.30970530867718,NOMINAL,0.15
36.0,77.78545571713511,100.91619948220215,CPU THROTTLING,0.15
37.0,80.26545640603565,100.53076129236099,NOMINAL,0.15
38.0,81.51710097445114,100.15500497832933,NOMINAL,0.15
39.0,82.16922362891408,99.78997737427561,NOMINAL,0.15
40.0,82.51843230455368,99.4362994140969,NOMINAL,0.15
41.0,82.70939888384322,99.09427392072764,NOMINAL,0.15
42.0,82.81465384985194,98.76396791115206,NOMINAL,0.15
43.0,82.87173094297873,98.44527554734842,NOMINAL,0.15
44.0,82.90079555680266,98.1379663203328,NOMINAL,0.15
45.0,82.91314381526098,97.84172191899903,NOMINAL,0.15
46.0,82.91538025605716,97.5561643962914,NOMINAL,0.15
47.0,82.91152397211773,97.28087762151189,NOMINAL,0.15
48.0,82.90410499449906,97.01542354096645,NOMINAL,0.15
49.0,82.89475735182691,96.75935441778039,NOMINAL,0.15
50.0,82.88455389754007,96.51222195537191,NOMINAL,0.15
51.0,82.8742038836649,96.2735840059275,NOMINAL,0.15
52.0,82.86417456365776,96.04300940938212,NOMINAL,0.15
